Kanji#Reading#JLPT#Type#Meaning
['あの人']#[['あのひと']]#5#['&pn;']#['he', 'she', 'that person']
['テレビっ子']#[['テレビっこ']]#5#['&n;']#['person (esp. child) who watches a lot of TV']
['ドジっ子']#[['ドジっこ']]#5#['&n;']#['clumsy girl']
['梵学']#[['ぼんがく']]#5#['&n;']#['study of Sanskrit']
['中の人']#[['なかのひと']]#5#['&exp;', '&n;']#['person inside a cartoon body suit', 'voice actor']
['空気シャワー']#[['くうきシャワー']]#5#['&n;']#['air shower']
['電子シャワー']#[['でんしシャワー']]#5#['&n;']#['cascade shower', 'electron shower']
['カエル目']#[['カエルもく']]#5#['&n;']#['Anura', {'_': 'order comprising frogs and toads', '$': {'g_type': 'expl'}}]
['１９日']#[['じゅうくにち']]#5#['&n;']#['19th day of the month']
['鮑魚']#[['ほうぎょ']]#5#['&n;']#['salt-cured fish']
['本間']#[['ほんま']]#5#['&n;']#['official size of a tatami mat for measuring room size (esp. a Kyoto-size tatami mat)']
['モラトリアム人間']#[['モラトリアムにんげん']]#5#['&n;']#['person who has not developed emotional maturity', 'young person who does not want to become an adult']
['レンタルビデオ店']#[['レンタルビデオてん']]#5#['&n;']#['video rental shop']
['読モ']#[['どくモ']]#5#['&n;']#['reader model', {'_': 'amateur model who appears in fashion magazines', '$': {'g_type': 'expl'}}]
['ダチョウ目']#[['ダチョウもく']]#5#['&n;']#['Struthioniformes', {'_': 'order comprising the ratites (sometimes spec. only the ostriches)', '$': {'g_type': 'expl'}}]
['ペンギン目']#[['ペンギンもく']]#5#['&n;']#['Sphenisciformes', {'_': 'order comprising the penguins', '$': {'g_type': 'expl'}}]
['言い出しべ']#[['いいだしべ']]#5#['&n;']#['first person to say something', 'first person to suggest something']
['本みりん']#[['ほんみりん']]#5#['&n;']#['(true) mirin', {'_': 'mirin containing alcohol', '$': {'g_type': 'expl'}}]
['いい話']#[['いいはなし'], ['よいはなし']]#5#['&exp;', '&n;']#['good story', 'heartwarming story']
['道会']#[['どうかい']]#5#['&n;']#['Hokkaido Prefectural Assembly']
['１１日']#[['じゅういちにち']]#5#['&n;']#['11th day of the month']
['一生もん']#[['いっしょうもん']]#5#['&n;']#['something that will last a lifetime (esp. high quality product)']
['白橡']#[['しらつるばみ']]#5#['&n;']#['pale grey', 'pale gray']
['出し子']#[['だしこ']]#5#['&n;']#['dried small sardines, etc. used to make fish stock']
['手漕ぎボート']#[['てこぎボート']]#5#['&n;']#['rowboat']
['足趾']#[['そくし']]#5#['&n;']#['footprints']
['電車道']#[['でんしゃみち']]#5#['&n;']#['street with tramline', 'railroad track']
['高フルクトースコーンシロップ']#[['こうフルクトースコーンシロップ']]#5#['&n;']#['high-fructose corn syrup', 'HFCS']
['シャブ中']#[['シャブちゅう']]#5#['&n;']#['drug addict (esp. stimulants)']
['ポン中']#[['ポンちゅう']]#5#['&n;']#['drug addict (esp. stimulants)']
['電気バリカン']#[['でんきバリカン']]#5#['&n;']#['electric clipper', 'electric hair clipper']
['先生']#[['シーサン']]#5#['&n;']#['boy']
['小日本']#[['シャオリーベン']]#5#['&n;']#['Japanese person', 'Jap']
['崖上']#[['がいじょう'], ['がけうえ']]#5#['&n;']#['cliff top']
['南オポッサム']#[['みなみオポッサム'], ['ミナミオポッサム']]#5#['&n;']#['common opossum (Didelphis marsupialis)', 'southern opossum', 'black-eared opossum']
['二']#[['アル'], ['アール']]#5#['&num;']#['two']
['来しな']#[['きしな']]#5#['&n;']#[\"on one's way somewhere\"]
['外大']#[['がいだい']]#5#['&n;']#['university of foreign studies', 'university specializing in foreign languages']
['外国語大学']#[['がいこくごだいがく']]#5#['&n;']#['university of foreign studies', 'university specializing in foreign languages']
['小ボケ']#[['こぼけ'], ['こボケ']]#5#['&n;']#['doing or saying something a little stupid']
['水上バイク']#[['すいじょうバイク']]#5#['&n;']#['personal water craft', 'PWC', 'water scooter']
['上一']#[['かみいち']]#5#['&n;']#['conjugation (inflection, declension) of ichidan verbs ending in \"iru\"']
['小鞄']#[['こかばん']]#5#['&n;']#['small bag', 'small satchel']
['水月']#[['すいげつ']]#5#['&n;']#['water and moon']
['女男']#[['おんなおとこ']]#5#['&n;']#['feminine man', 'effeminate man']
['行乞']#[['ぎょうこつ']]#5#['&n;']#['going on an alms round (for food)', 'going begging (for food)', 'going to ask for alms of food', 'pindacara']
['天パ']#[['てんパ'], ['テンパ']]#5#['&n;']#['naturally curly hair']
['書牘']#[['しょとく']]#5#['&n;']#['epistle', 'missive', 'letter']
['足てびち']#[['あしてびち'], ['あしテビチ']]#5#['&n;']#[\"pig's feet\"]
['道しるべ']#[['みちしるべ']]#5#['&n;']#['guidepost', 'signpost']
['パイナップル目']#[['パイナップルもく']]#5#['&n;']#['Bromeliales', {'_': 'order of flowering plants', '$': {'g_type': 'expl'}}]
['分綴']#[['ぶんてつ']]#5#['&n;']#['syllabication', 'hyphenation']
['大トリ']#[['おおトリ'], ['おおとり']]#5#['&n;']#['key performer', 'last performer of the day']
['リア友']#[['リアとも']]#5#['&n;']#['real-life friend (as opposed to online friend)']
['何じゃもんじゃ']#[['なんじゃもんじゃ'], ['ナンジャモンジャ']]#5#['&n;']#['unusually large tree']
['橉木']#[['りんぼく'], ['リンボク']]#5#['&n;']#['Prunus spinulosa (Japanese species of prunus)']
['高ピー']#[['たかピー'], ['タカピー']]#5#['&n;']#['high-handed person', 'domineering person']
['車ひだ']#[['くるまひだ']]#5#['&n;']#['knife pleat', 'one-way pleat', 'unidirectional pleat', 'accordion pleats']
['女子リーグ']#[['じょしリーグ']]#5#['&n;']#['female league']
['足コキ']#[['あしコキ'], ['あしこき']]#5#['&n;']#['footjob']
['シナプス間隙']#[['シナプスかんげき']]#5#['&n;']#['synaptic cleft']
['大女']#[['だいじょ']]#5#['&n;']#['grown-up woman', 'adult woman']
['小女']#[['こめ']]#5#['&n;']#['small girl']
['南ア']#[['なんア'], ['みなみア']]#5#['&n;']#['South Africa']
['社食']#[['しゃしょく']]#5#['&n;']#['staff canteen']
['大阪人']#[['おおさかじん']]#5#['&n;']#['Osakan (person)']
['フラ語']#[['フラご']]#5#['&n;']#['French language (esp. as a college class)']
['孕み女']#[['はらみおんな']]#5#['&n;']#['pregnant woman']
['二つ名']#[['ふたつな']]#5#['&n;']#['nickname', 'alias', 'pseudonym', 'pen name', 'nom de plume', 'other name']
['ときの気']#[['ときのけ']]#5#['&n;']#['infectious disease', 'plague', 'epidemic']
['男名']#[['おとこな']]#5#['&n;']#['male name']
['女名前']#[['おんななまえ']]#5#['&n;']#['female name']
['お稽古']#[['おけいこ']]#5#['&n;']#['practice', 'training']
['１２日']#[['じゅうににち']]#5#['&n;']#['12th day of the month']
['鄙人']#[['ひなびと'], ['ひじん'], ['とひとま'], ['とひと']]#5#['&n;']#['countryfolk', 'villager', 'provincial']
['金目ペンギン']#[['きんめペンギン'], ['キンメペンギン']]#5#['&n;']#['yellow-eyed penguin (Megadyptes antipodes)']
['１３日']#[['じゅうさんにち']]#5#['&n;']#['13th day of the month']
['マジ話']#[['マジばな'], ['マジバナ']]#5#['&n;']#['real talk', 'serious conversation']
['１６日']#[['じゅうろくにち']]#5#['&n;']#['16th day of the month']
['１７日']#[['じゅうしちにち'], ['じゅうななにち']]#5#['&n;']#['17th day of the month']
['１８日']#[['じゅうはちにち']]#5#['&n;']#['18th day of the month']
['２１日']#[['にじゅういちにち']]#5#['&n;']#['21st day of the month']
['ヘラクレス大兜']#[['ヘラクレスおおかぶと'], ['ヘラクレスオオカブト'], ['ヘルクレスオオカブト']]#5#['&n;']#['Hercules beetle (Dynastes hercules)']
['ゴキブリ目']#[['ゴキブリもく']]#5#['&n;']#['Blattodea', {'_': 'order comprising the cockroaches', '$': {'g_type': 'expl'}}]
['大ゴキブリ']#[['おおゴキブリ'], ['おおごきぶり'], ['オオゴキブリ']]#5#['&n;']#['Panesthia spadica (species of cockroach)']
['２２日']#[['にじゅうににち']]#5#['&n;']#['22nd day of the month']
['２３日']#[['にじゅうさんにち']]#5#['&n;']#['23rd day of the month']
['２５日']#[['にじゅうごにち']]#5#['&n;']#['25th day of the month']
['水ぎせる']#[['みずぎせる'], ['みずギセル']]#5#['&n;']#['hookah', 'waterpipe']
['水タバコ']#[['みずタバコ'], ['みずたばこ']]#5#['&n;']#['hookah', 'waterpipe']
['生チョコ']#[['なまチョコ']]#5#['&n;']#['mixture of chocolate, cream and liquor, used in truffles, ganache, etc.']
['生チョコレート']#[['なまチョコレート']]#5#['&n;']#['mixture of chocolate, cream and liquor, used in truffles, ganache, etc.']
['２６日']#[['にじゅうろくにち']]#5#['&n;']#['26th day of the month']
['２７日']#[['にじゅうしちにち'], ['にじゅうななにち']]#5#['&n;']#['27th day of the month']
['２８日']#[['にじゅうはちにち']]#5#['&n;']#['28th day of the month']
['２９日']#[['にじゅうくにち'], ['にじゅうきゅうにち']]#5#['&n;']#['29th day of the month']
['３１日']#[['さんじゅういちにち']]#5#['&n;']#['31st day of the month']
['男名前']#[['おとこなまえ']]#5#['&n;']#['male name']
['四月']#[['よつき']]#5#['&n;']#['four months']
['はしご高']#[['はしごだか']]#5#['&n;']#['ladder form of \"high\" kanji']
['名コンビ']#[['めいコンビ']]#5#['&n;']#['great pair', 'well-oiled two-man team']
['オスマン語']#[['オスマンご']]#5#['&n;']#['Ottoman Turkish (language)', 'Osmanli', 'Ottoman']
['韓語']#[['かんご']]#5#['&n;']#['Korean (language)']
['クメール語']#[['クメールご']]#5#['&n;']#['Khmer (language)', 'Cambodian']
['カンボジア語']#[['カンボジアご']]#5#['&n;']#['Khmer (language)', 'Cambodian']
['グルジア語']#[['グルジアご']]#5#['&n;']#['Georgian (language)']
['水いぼ']#[['みずいぼ'], ['みずイボ']]#5#['&n;']#['water warts', 'molluscum contagiosum', {'_': 'viral infection of the skin', '$': {'g_type': 'expl'}}]
['立会い分娩']#[['たちあいぶんべん']]#5#['&n;']#['childbirth with father of child present', 'delivery with husband present']
['円タク']#[['えんタク']]#5#['&n;']#['one-yen taxi (in the Taisho and Showa periods)', 'taxi']
['バカ女']#[['ばかおんな'], ['バカおんな'], ['ばかじょ'], ['バカじょ']]#5#['&n;']#['stupid girl', 'stupid woman']
['来い']#[['こい']]#5#['&int;']#['come!', 'come on!']
['一目千本']#[['ひとめせんぼん']]#5#['&n;']#['place where one can view a vast number of cherry blossom trees at a glance (esp. Mount Yoshino in Nara Prefecture)']
['スケベ椅子']#[['スケベいす'], ['すけべいす']]#5#['&n;']#['shower stool with a u-shaped hole in the middle']
['電気柵']#[['でんきさく']]#5#['&n;']#['electric fence']
['男']#[['おのこ']]#5#['&n;']#['man', 'boy']
['女の子']#[['めのこ']]#5#['&n;']#['woman', 'girl']
['男']#[['なん']]#5#['&n;', '&n-suf;', '&ctr;']#['son']
['マメ目']#[['マメもく']]#5#['&n;']#['Fabales', {'_': 'order of flowering plants', '$': {'g_type': 'expl'}}]
['闇の女']#[['やみのおんな']]#5#['&exp;', '&n;']#['street prostitute']
['囁き言']#[['ささやきごと']]#5#['&n;']#['whispering', 'whisper', 'secret talk', 'murmur']
['半間']#[['はんま']]#5#['&n;']#['something unfinished', 'something incomplete']
['ウシ目']#[['ウシもく']]#5#['&n;']#['Artiodactyla', {'_': 'order comprising the even-toed ungulates', '$': {'g_type': 'expl'}}]
['小花梗']#[['しょうかこう']]#5#['&n;']#['pedicel']
['三学']#[['さんがく']]#5#['&n;']#['threefold training', 'three divisions of the noble eightfold path']
['子']#[['こう']]#5#['&n;']#['child']
['食い頃']#[['くいごろ']]#5#['&n;']#['in season', 'at its best', 'ready for eating']
['イグチ目']#[['イグチもく']]#5#['&n;']#['Boletales', {'_': 'order of mushrooms', '$': {'g_type': 'expl'}}]
['日本川獺']#[['にほんかわうそ'], ['ニホンカワウソ']]#5#['&n;']#['Japanese river otter (Lutra lutra whiteleyi)']
['白燐']#[['はくりん'], ['はくリン']]#5#['&n;']#['white phosphorus']
['南スーダン']#[['みなみスーダン']]#5#['&n;']#['South Sudan']
['中国学']#[['ちゅうごくがく']]#5#['&n;']#['sinology', 'Chinese studies']
['東ティモール']#[['ひがしティモール']]#5#['&n;']#['East Timor', 'Timor-Leste']
['白ロシア']#[['はくロシア']]#5#['&n;']#['Belarus']
['コイ目']#[['コイもく']]#5#['&n;']#['Cypriniformes', {'_': 'order of ray-finned fish', '$': {'g_type': 'expl'}}]
['手なし']#[['てなし']]#5#['&n;']#['handless', 'armless']
['花筏']#[['はないかだ'], ['ハナイカダ']]#5#['&n;']#['floral raft', 'flower raft', {'_': 'flower petals fallen on water, resembling a raft', '$': {'g_type': 'expl'}}]
['先の話']#[['さきのはなし']]#5#['&exp;', '&n;']#['a long way off', 'matter for the future', 'not going to happen anytime soon']
['一']#[['イー']]#5#['&num;']#['one']
['三']#[['サン']]#5#['&num;']#['three']
['四']#[['スー']]#5#['&num;']#['four']
['五']#[['ウー']]#5#['&num;']#['five']
['六']#[['リュー'], ['リィウ'], ['リウ']]#5#['&num;']#['six']
['七']#[['チー']]#5#['&num;']#['seven']
['八']#[['パー']]#5#['&num;']#['eight']
['九']#[['チュー']]#5#['&num;']#['nine']
['十']#[['シー']]#5#['&num;']#['ten']
['木鍬']#[['こくわ']]#5#['&n;']#['wooden hoe']
['高中']#[['こうちゅう']]#5#['&n;']#['senior high school (in the PRC or ROC)']
['人たらし']#[['ひとたらし']]#5#['&n;']#['scam', 'con trick']
['クソ女']#[['くそおんな']]#5#['&n;']#['bitch', 'wench']
['糞男']#[['くそおとこ']]#5#['&n;']#['shit guy', 'dick']
['中年男']#[['ちゅうねんおとこ']]#5#['&n;']#['middle-aged man']
['中年女']#[['ちゅうねんおんな']]#5#['&n;']#['middle-aged woman']
['白道']#[['はくどう']]#5#['&n;']#[\"moon's path\"]
['外釜']#[['そとがま']]#5#['&n;']#['outer pot of a rice cooker']
['時間ずれ']#[['じかんずれ']]#5#['&n;']#['time deviation', 'time lag', 'jitter']
['ガード下']#[['ガードした']]#5#['&n;']#['under the tracks', 'area under the girders of a railway or highway (often used for shops, bars, etc.)']
['痩せ男']#[['やせおとこ']]#5#['&n;']#['skinny man', 'shabby-looking man']
['新エネルギー']#[['しんエネルギー']]#5#['&n;']#['alternative energy']
['新エネ']#[['しんエネ']]#5#['&n;']#['alternative energy']
['白']#[['はく']]#5#['&n;']#['white']
['大フラミンゴ']#[['おおフラミンゴ'], ['オオフラミンゴ']]#5#['&n;']#['greater flamingo (Phoenicopterus roseus)']
['小フラミンゴ']#[['こフラミンゴ'], ['コフラミンゴ']]#5#['&n;']#['lesser flamingo (Phoenicopterus minor)']
['小嘴フラミンゴ']#[['こばしフラミンゴ'], ['コバシフラミンゴ']]#5#['&n;']#[\"James's flamingo (Phoenicoparrus jamesi)\", 'Puna flamingo']
['チドリ目']#[['チドリもく']]#5#['&n;']#['Charadriiformes', {'_': 'order of birds', '$': {'g_type': 'expl'}}]
['いける口']#[['いけるくち']]#5#['&exp;', '&n;']#['drinker', 'person who can hold their drink']
['大鵟']#[['おおのすり'], ['オオノスリ']]#5#['&n;']#['upland buzzard (Buteo hemilasius)']
['槓子']#[['カンツ']]#5#['&n;']#['kong', 'four-of-a-kind']
['ダブ東']#[['ダブトン']]#5#['&n;']#[\"pung (or kong) of east tiles when east is both the round wind and one's seat wind (meld)\"]
['ダブ南']#[['ダブナン']]#5#['&n;']#[\"pung (or kong) of south tiles when south is both the round wind and one's seat wind (meld)\"]
['ダブ西']#[['ダブシャー']]#5#['&n;']#[\"pung (or kong) of west tiles when west is both the round wind and one's seat wind (meld)\"]
['ダブ北']#[['ダブペー']]#5#['&n;']#[\"pung (or kong) of north tiles when north is both the round wind and one's seat wind (meld)\"]
['一盃口']#[['イーペーコー']]#5#['&n;']#['pure double chow', 'winning hand containing two identical chows (i.e. same numbers and same suit)']
['一盃']#[['イーペー']]#5#['&n;']#['pure double chow', {'_': 'winning hand containing two identical chows (i.e. same numbers and same suit)', '$': {'g_type': 'expl'}}]
['パンパス天竺鼠']#[['パンパスてんじくねずみ'], ['パンパステンジクネズミ']]#5#['&n;']#['Brazilian guinea pig (Cavia aperea)']
['アマゾン天竺鼠']#[['アマゾンてんじくねずみ'], ['アマゾンテンジクネズミ']]#5#['&n;']#['shiny guinea pig (Cavia fulgida)']
['ペルー天竺鼠']#[['ペルーてんじくねずみ'], ['ペルーテンジクネズミ']]#5#['&n;']#['montane guinea pig (Cavia tschudii)']
['南山クイ']#[['みなみやまクイ'], ['ミナミヤマクイ']]#5#['&n;']#['southern mountain cavy (Microcavia australis)']
['アンデス山クイ']#[['アンデスやまクイ'], ['アンデスヤマクイ']]#5#['&n;']#['Andean mountain cavy (Microcavia niata)']
['シプトン山クイ']#[['シプトンやまクイ'], ['シプトンヤマクイ']]#5#['&n;']#[\"Shipton's mountain cavy (Microcavia shiptoni)\"]
['ネズミ目']#[['ネズミもく']]#5#['&n;']#['Rodentia', {'_': 'order comprising the rodents', '$': {'g_type': 'expl'}}]
['一手間']#[['ひとてま']]#5#['&n;']#['extra effort', 'one small touch', 'small twist']
['ついこの間']#[['ついこのあいだ']]#5#['&exp;', '&n;', '&adv;']#['just the other day', 'quite recently']
['中']#[['チュン']]#5#['&n;']#['red dragon tile']
['花牌']#[['はなはい'], ['はなパイ'], ['ファパイ'], ['ホアパイ'], ['ホワパイ']]#5#['&n;']#['flower tile']
['手牌']#[['てはい']]#5#['&n;']#[\"tiles in a player's hand\"]
['十三ヤオ九']#[['シーサンヤオチュー']]#5#['&n;']#['thirteen orphans', {'_': 'winning hand containing one of each terminal and honor tile', '$': {'g_type': 'expl'}}]
['牌山']#[['はいやま'], ['パイやま']]#5#['&n;']#['wall', 'wall tiles']
['上がり牌']#[['あがりパイ'], ['アガリパイ']]#5#['&n;']#['winning tile']
['三槓子']#[['サンカンツ']]#5#['&n;']#['three kongs', {'_': 'winning hand containing three kongs', '$': {'g_type': 'expl'}}]
['何言うとんねん']#[['なにいうとんねん']]#5#['&n;']#['what the hell are you saying?']
['前蹴り']#[['まえげり']]#5#['&n;']#['front kick (esp. martial arts)']
['本土人']#[['ほんどじん']]#5#['&n;']#['mainlander', 'person from the mainland']
['木瓜']#[['もっこう'], ['もこう']]#5#['&n;']#['family crest based on a japonica flower']
['グループ会社']#[['グループがいしゃ']]#5#['&n;']#['corporate group', 'group businesses', 'group company', 'affiliated company']
['ゲーム木']#[['ゲームき']]#5#['&n;']#['game tree (in combinatorial game theory)']
['パッと見']#[['パッとみ'], ['ぱっとみ']]#5#['&n;']#['(at) a glance', '(judging from) appearances']
['山蛭']#[['やまびる'], ['ヤマビル']]#5#['&n;']#['land leech (Haemadipsa zeylanica japonica)']
['古潭']#[['こたん']]#5#['&n;']#['old abyss']
['人繞']#[['にんにょう']]#5#['&n;']#['kanji \"legs radical\" (radical 10)']
['って言う']#[['っていう']]#5#['&conj;']#['meaning', 'called', 'said']
['鯱鉾立ち']#[['さっちょこだち']]#5#['&n;']#['handstand', 'headstand']
['多牌']#[['ターパイ'], ['ターはい']]#5#['&n;']#[\"having too many tiles on one's hand\"]
['見せ牌']#[['みせはい'], ['みせパイ']]#5#['&n;']#['tile accidentally or mistakenly shown to other players']
['学生鞄']#[['がくせいかばん']]#5#['&n;']#['school bag (usu. handheld or hung from the shoulder)', 'schoolbag']
['子ども会']#[['こどもかい']]#5#['&n;']#['organization for local children (for growth via sports, study, service, etc.)']
['六入']#[['ろくにゅう']]#5#['&n;']#['six sense organs (eyes, ears, nose, tongue, body, and mind)']
['日出国']#[['にっしゅつこく']]#5#['&n;']#['Land of the Rising Sun']
['十日戎']#[['とおかえびす']]#5#['&n;']#['festival held on January 10 in honor of Ebisu, the god of fishing and commerce']
['日語']#[['にちご']]#5#['&n;']#['Japanese (language)']
['耳金']#[['みみがね']]#5#['&n;']#['lug']
['そこいら中']#[['そこいらじゅう']]#5#['&n;']#['everywhere', 'all over the place']
['オフロード車']#[['オフロードしゃ']]#5#['&n;']#['off-road motor vehicle']
['マラガシ語']#[['マラガシご']]#5#['&n;']#['Malagasy (language)']
['マダガスカル語']#[['マダガスカルご']]#5#['&n;']#['Malagasy (language)']
['マダガスカル人']#[['マダガスカルじん']]#5#['&n;']#['Malagasy person']
['礫土']#[['れきど']]#5#['&n;']#['gravelly soil']
['女校長']#[['おんなこうちょう']]#5#['&n;']#['headmistress']
['お父さん子']#[['おとうさんこ']]#5#['&n;']#[\"daddy's girl\", \"daddy's boy\"]
['龍魚']#[['りゅうぎょ']]#5#['&n;']#['dragon-like cryptid fish with many whiskers and no bones (likely a sturgeon)']
['鰐魚']#[['がくぎょ']]#5#['&n;']#['crocodile', 'alligator', 'crocodilian']
['男山']#[['おとこやま']]#5#['&n;']#['rugged mountain (of the more rugged mountain of a pair of mountains)']
['女山']#[['おんなやま']]#5#['&n;']#['gently sloping mountain (of the less rugged mountain of a pair of mountains)']
['古ノルド語']#[['こノルドご']]#5#['&n;']#['Old Norse']
['ノルド語']#[['ノルドご']]#5#['&n;']#['Norse', 'Nordic languages (Danish, Faroese, Icelandic, Norwegian, Swedish)']
['ツワナ語']#[['ツワナご']]#5#['&n;']#['Tswana (language)', 'Setswana']
['百八つ']#[['ひゃくやっつ']]#5#['&num;']#['108', 'one hundred and eight']
['安南語']#[['アンナンご']]#5#['&n;']#['Annamese (language)', 'Vietnamese']
['ベンガル語']#[['ベンガルご']]#5#['&n;']#['Bengali (language)']
['テルグ語']#[['テルグご']]#5#['&n;']#['Telugu (language)', 'Telegu']
['マラーティー語']#[['マラーティーご']]#5#['&n;']#['Marathi (language)', 'Mahratti']
['グジャラート語']#[['グジャラートご']]#5#['&n;']#['Gujarati (language)', 'Gujerati']
['カンナダ語']#[['カンナダご'], ['カナラご']]#5#['&n;']#['Kannada (language)', 'Kanarese']
['オリヤー語']#[['オリヤーご']]#5#['&n;']#['Oriya (language)']
['ビルマ語']#[['ビルマご']]#5#['&n;']#['Burmese (language)']
['スンダ語']#[['スンダご']]#5#['&n;']#['Sundanese (language)']
['クルド語']#[['クルドご']]#5#['&n;']#['Kurdish (language)']
['パシュトー語']#[['パシュトーご'], ['パシュトゥーご']]#5#['&n;']#['Pashto (language)', 'Pashtu']
['ハウサ語']#[['ハウサご']]#5#['&n;']#['Hausa (language)']
['ウズベク語']#[['ウズベクご']]#5#['&n;']#['Uzbek (language)']
['シンド語']#[['シンドご']]#5#['&n;']#['Sindhi (language)']
['ヨルバ語']#[['ヨルバご']]#5#['&n;']#['Yoruba (language)']
['ソマリ語']#[['ソマリご']]#5#['&n;']#['Somali (language)']
['ラオ語']#[['ラオご']]#5#['&n;']#['Lao (language)', 'Laotian']
['オロモ語']#[['オロモご']]#5#['&n;']#['Oromo (language)']
['マレー語']#[['マレーご']]#5#['&n;']#['Malay (language)']
['イボ語']#[['イボご']]#5#['&n;']#['Igbo (language)', 'Ibo']
['ネパール語']#[['ネパールご']]#5#['&n;']#['Nepali (language)', 'Nepalese']
['アッサム語']#[['アッサムご']]#5#['&n;']#['Assamese (language)']
['ショナ語']#[['ショナご']]#5#['&n;']#['Shona (language)']
['マドゥラ語']#[['マドゥラご']]#5#['&n;']#['Madurese (language)']
['フラニ語']#[['フラニご']]#5#['&n;']#['Fula (language)', 'Fulani']
['ベルベル語']#[['ベルベルご']]#5#['&n;']#['Berber (language)']
['セルビア語']#[['セルビアご']]#5#['&n;']#['Serbian (language)']
['ケチュア語']#[['ケチュアご']]#5#['&n;']#['Quechua (language)', 'Quechuan', 'Quichua', 'Quecha']
['ズールー語']#[['ズールーご']]#5#['&n;']#['Zulu (language)']
['クロアチア語']#[['クロアチアご']]#5#['&n;']#['Croat (language)', 'Croatian']
['セルビアクロアチア語']#[['セルビアクロアチアご']]#5#['&n;']#['Serbo-Croat (language)', 'Serbo-Croatian']
['コンゴ語']#[['コンゴご']]#5#['&n;']#['Kongo (language)', 'Kikongo', 'Congolese']
['イロカノ語']#[['イロカノご']]#5#['&n;']#['Ilokano (language)', 'Ilocano']
['ミャオ語']#[['ミャオご']]#5#['&n;']#['Miao (language)', 'Hmong']
['ルワンダ語']#[['ルワンダご']]#5#['&n;']#['Rwandan (language)', 'Kinyarwanda']
['コサ語']#[['コサご'], ['コーサご'], ['ホサご']]#5#['&n;']#['Xhosa (language)']
['イグボ語']#[['イグボご']]#5#['&n;']#['Igbo (language)', 'Ibo']
['一本箸']#[['いっぽんばし']]#5#['&n;']#['single chopstick stuck upright into the bowl of rice offered to the deceased at their funeral']
['立て箸']#[['たてばし']]#5#['&n;']#['sticking chopsticks upright into a bowl of rice (a breach of etiquette)']
['アカウント名']#[['アカウントめい']]#5#['&n;']#['account name']
['男アナ']#[['おとこアナ']]#5#['&n;']#['male TV announcer']
['チャモロ語']#[['チャモロご']]#5#['&n;']#['Chamorro (language)']
['かん水']#[['かんすい']]#5#['&n;']#['lye water (for making Chinese noodles)']
['淦水']#[['かんすい']]#5#['&n;']#['bilge water']
['マラソン大会']#[['マラソンたいかい']]#5#['&n;']#['marathon race', 'marathon']
['車社会']#[['くるましゃかい']]#5#['&n;']#['automobile society', 'motorized society']
['チョン人']#[['チョンじん']]#5#['&n;']#['Korean person']
['山名']#[['さんめい']]#5#['&n;']#['name of a mountain']
['大の大人']#[['だいのおとな']]#5#['&exp;', '&n;']#['grown man', 'grown woman', 'grown-up person', 'sensible person']
['日本人会']#[['にほんじんかい']]#5#['&n;']#['Japanese association', 'Japanese expat. organization']
['土手道']#[['どてみち']]#5#['&n;']#['causeway', 'land bridge', 'path on an embankment']
['鎧鼬魚']#[['よろいいたちうお'], ['ヨロイイタチウオ']]#5#['&n;']#['snubnose brotula', 'armoured cusk (Hoplobrotula armata)']
['鰱魚']#[['れんぎょ'], ['レンギョ']]#5#['&n;']#['silver carp', 'bighead carp']
['クジラウオ目']#[['クジラウオもく']]#5#['&n;']#['Stephanoberyciformes', 'Cetomimiformes', {'_': 'order of fishes containing the whalefishes', '$': {'g_type': 'expl'}}]
['キンメダイ目']#[['キンメダイもく']]#5#['&n;']#['Beryciformes', {'_': 'order of fishes containing the alfonsinos, squirrelfishes, etc.', '$': {'g_type': 'expl'}}]
['カンムリキンメダイ目']#[['カンムリキンメダイもく']]#5#['&n;']#['Stephanoberyciformes', 'order of fishes containing the pricklefishes']
['鰣魚']#[['じぎょ'], ['ジギョ']]#5#['&n;']#[\"Reeves' shad (Tenualosa reevesii)\", 'Chinese shad']
['花の雨']#[['はなのあめ']]#5#['&exp;', '&n;']#['rain falling on cherry blossoms', 'rain at the time of the blossoming of cherry trees']
['厩出']#[['うまやだし'], ['まやだし']]#5#['&n;']#['letting horses out the barn to graze (in spring)']
['目貼剥ぐ']#[['めばりはぐ']]#5#['&n;']#['removing the weather stripping in spring']
['前日譚']#[['ぜんじつたん']]#5#['&n;']#['prequel']
['八つ子']#[['やつご']]#5#['&n;']#['octuplet']
['ものの本']#[['もののほん']]#5#['&exp;', '&n;']#['some book', 'book about that subject']
['すがる少女']#[['すがるおとめ']]#5#['&n;']#['wasp-waisted girl']
['ペン立て']#[['ペンたて']]#5#['&n;']#['pen holder', 'desk tidy']
['プラークリット語']#[['プラークリットご']]#5#['&n;']#['Prakrit (language)']
['生麺']#[['なまめん'], ['せいめん']]#5#['&n;']#['raw noodles', 'uncooked noodles']
['こぼれ話']#[['こぼればなし']]#5#['&n;']#['tidbit', 'titbit', 'digression', 'sidebar', 'snippet']
['三一']#[['さんぴん']]#5#['&n;']#['low-ranking samurai']
['安ピン']#[['あんピン']]#5#['&n;']#['safety pin']
['スマトラ大蒟蒻']#[['スマトラおおこんにゃく'], ['スマトラオオコニャク']]#5#['&n;']#['titan arum (Amorphophallus titanum)', 'corpse flower', 'carrion flower']
['粤語']#[['えつご']]#5#['&n;']#['Yue Chinese (language)']
