Kanji#Reading#JLPT#Type#Meaning
['〃']#[['おなじ'], ['おなじく']]#100#['&n;']#['ditto mark']
['ボカロＰ']#[['ボカロピー']]#100#['&n;']#['Vocaloid producer', {'_': 'person producing music using Vocaloid systems', '$': {'g_type': 'expl'}}]
['𤭯']#[['はそう'], ['はぞう']]#100#['&n;']#['wide-mouthed ceramic vessel having a small hole in its spherical base (into which bamboo was probably inserted to pour liquids)']
['ウルトラＣ']#[['ウルトラシー']]#100#['&n;']#['amazing feat', 'trump card', '(something) earth-shattering']
['簓蜱']#[['ささらだに'], ['ササラダニ']]#100#['&n;']#['moss mite (Oribatida spp.)', 'box mite', 'beetle mite', 'oribatid mite']
['埃蜱']#[['ほこりだに'], ['ホコリダニ']]#100#['&n;']#['white mite (Tarsonemidae spp.)', 'thread-footed mite']
['塵蜱']#[['ちりだに'], ['チリダニ']]#100#['&n;']#['house dust mite (Dermatophagoides spp.)']
['尻バット']#[['けつバット'], ['ケツバット']]#100#['&n;']#['spanking with a baseball bat']
['ＴＯＰＳ']#[['トップス']]#100#['&n;']#['thermoelectric outer planet spacecraft', 'TOPS']
['メーリス腺']#[['メーリスせん']]#100#['&n;']#[\"Mehlis' gland\"]
['ＪＤＭ']#[['ジェイディーエム']]#100#['&n;']#['Japanese domestic market (esp. for automobiles)', 'JDM']
['サブ垢']#[['サブアカ']]#100#['&n;']#['secondary account (on social media, etc.)', 'second account', 'extra account', 'backup account']
['垢']#[['アカ']]#100#['&n;']#['account (e.g. for an online service)']
['ＰＲＩＳＭ']#[['プリズム']]#100#['&n;']#['PRISM', {'_': 'mass electronic surveillance program operated by the United States National Security Agency', '$': {'g_type': 'expl'}}]
['痩せ']#[['やせ']]#100#['&n;']#['losing weight', 'slimming']
['呟きサイト']#[['つぶやきサイト']]#100#['&n;']#['microblog']
['呟きブログ']#[['つぶやきブログ']]#100#['&n;']#['microblog']
['隙あり']#[['すきあり'], ['すきアリ'], ['スキあり']]#100#['&exp;', '&n;']#['chink in the armor (armour)']
['ＨＥＩＢ']#[['ヒーブ']]#100#['&n;']#['home economists working in businesses (on advice, marketing, etc.)']
['鍾']#[['しょう']]#100#['&n;']#['round bronze jar used for storing alcohol (Han dynasty China)']
['ミミズ腫れ']#[['ミミズばれ'], ['みみずばれ']]#100#['&n;']#['wale (on the skin)', 'welt', 'weal']
['インド豹']#[['インドひょう'], ['インドヒョウ']]#100#['&n;']#['Indian leopard (Panthera pardus fusca)']
['俄かファン']#[['にわかファン']]#100#['&n;']#['bandwagon fan', 'fair-weather fan']
['ナンバー２']#[['ナンバーツー'], ['ナンバー・ツー']]#100#['&n;']#['number two']
['蟹蝙蝠']#[['かにこうもり'], ['カニコウモリ']]#100#['&n;']#['Parasenecio adenostyloides (species of daisy)']
['兎蝙蝠']#[['うさぎこうもり'], ['ウサギコウモリ']]#100#['&n;']#['brown long-eared bat (Plecotus auritus)', 'common long-eared bat', 'brown big-eared bat']
['かぐや蝙蝠']#[['かぐやこうもり'], ['カグヤコウモリ']]#100#['&n;']#['fraternal myotis (Myotis frater)', 'long-tailed whiskered bat']
['鰻']#[['うな'], ['う']]#100#['&n-pref;', '&n;']#['eel (esp. the Japanese eel, Anguilla japonica)']
['蒴藋']#[['そくず'], ['ソクズ']]#100#['&n;']#['Sambucus chinensis (species of elderberry)']
['鵠']#[['くぐい'], ['くくい']]#100#['&n;']#['swan']
['捩れ']#[['ねじれ']]#100#['&n;']#['kink', 'twist', 'twirl']
['ＮＧワード']#[['エヌジワード'], ['エヌジーワード']]#100#['&n;']#['swearword', 'profanity']
['蒙塵']#[['もうじん']]#100#['&n;']#['royalty seeking refuge outside the palace or capital during an emergency']
['狄']#[['てき']]#100#['&n;']#['Di people (Zhou-dynasty term for non-ethnic Chinese to the north)']
['３Ｋ']#[['さんケー']]#100#['&n;']#['difficult, dirty, and dangerous (work)']
['猩々袴']#[['しょうじょうばかま'], ['ショウジョウバカマ']]#100#['&n;']#['Oriental swamp pink (Heloniopsis orientalis)']
['鮟鱇']#[['あんこ']]#100#['&n;']#['potbellied sumo wrestler', 'wrestler with a big belly']
['栃餅']#[['とちもち']]#100#['&n;']#['cake made from pounded horse chestnuts and mochi rice']
['ばっちょう笠']#[['ばっちょうがさ'], ['バッチョウガサ']]#100#['&n;']#['conical bamboo hat']
['ＤＮＡバーコーディング']#[['ディーエヌエーバーコーディング']]#100#['&n;']#['DNA barcoding']
['リアルタイムＰＣＲ']#[['リアルタイムピーシーアール']]#100#['&n;']#['real-time polymerase chain reaction', 'real-time PCR']
['ＤＮＡシークエンシング']#[['ディーエヌエーシークエンシング']]#100#['&n;']#['DNA sequencing']
['其れ其れ']#[['それそれ']]#100#['&int;']#['come on', 'hurry up', 'chop chop']
['ＭＥＲＳ']#[['マーズ']]#100#['&n;']#['Middle East respiratory syndrome', 'MERS']
['ＭＥＲＳコロナウイルス']#[['マーズコロナウイルス']]#100#['&n;']#['MERS coronavirus', 'Middle East respiratory syndrome coronavirus']
['ＳＡＲＳコロナウイルス']#[['サーズコロナウイルス']]#100#['&n;']#['SARS coronavirus']
['紐パンツ']#[['ひもパンツ'], ['ヒモパンツ']]#100#['&n;']#['string bikini', 'g-string', 'thong']
['蛟']#[['みずち'], ['みつち']]#100#['&n;']#['mizuchi', {'_': 'mythical dragon-like beast', '$': {'g_type': 'expl'}}]
['捗']#[['はか']]#100#['&n;']#['progress']
['叱叱']#[['しっしっ'], ['シッシッ']]#100#['&int;']#['shh!', 'sh!']
['ＶＡＸ']#[['バックス']]#100#['&n;']#['VAX', {'_': 'obsolete instruction set architecture', '$': {'g_type': 'expl'}}]
['瓔珞']#[['ようらく']]#100#['&n;']#['personal ornament (adorned with gemstones, and usu. worn by the nobility in ancient India or adorning Buddhist statues)', 'necklace', 'diadem']
['鋸がざみ']#[['のこぎりがざみ'], ['ノコギリガザミ']]#100#['&n;']#['mud crab (Scylla serrata)', 'mangrove crab', 'swimming crab']
['舷']#[['げん']]#100#['&n;']#['side of a boat', 'gunwale']
['ＯＨ']#[['オーエッチ']]#100#['&n;']#['overhaul', 'reconditioning']
['ＳＩｅｒ']#[['エスアイアー']]#100#['&n;']#['systems integrator', 'system integrator (company)']
['爪とぎ']#[['つめとぎ'], ['ツメとぎ']]#100#['&n;']#['claw sharpening']
['ｋｔｋｒ']#[['きたこれ'], ['キタコレ']]#100#['&int;']#[\"it's here!\", \"it's happening!\", 'yes!']
['ＤＮＡチップ']#[['ディーエヌエーチップ']]#100#['&n;']#['DNA chip']
['ＤＮＡバーコード']#[['ディーエヌエーバーコード']]#100#['&n;']#['DNA barcode']
['裳']#[['チマ']]#100#['&n;']#['chima', {'_': 'long skirt traditionally worn by Korean women', '$': {'g_type': 'expl'}}]
['袴']#[['パジ'], ['バチ']]#100#['&n;']#['traditional Korean pants']
['ＪＫリフレ']#[['ジェイケイリフレ'], ['ジェーケーリフレ']]#100#['&n;']#['massage and possibly sexual services performed by a female high school student or young woman wearing a high school uniform']
['黴パン']#[['かびパン'], ['カビパン']]#100#['&n;']#['mouldy bread']
['４Ｋテレビ']#[['よんケーテレビ'], ['フォーケーテレビ']]#100#['&n;']#['4K TV', 'ultra high definition television']
['ＳＩＭフリー']#[['シムフリー']]#100#['&n;']#['SIM free (cellphone)']
['お臍']#[['おへそ']]#100#['&n;']#['navel', 'belly button']
['厴']#[['へた']]#100#['&n;']#['operculum (of a shellfish)']
['ＥＴＡ']#[['イーティーエー']]#100#['&n;']#['ETA', 'estimated time of arrival']
['ＥＴＤ']#[['イーティーディー']]#100#['&n;']#['ETD', 'estimated time of departure']
['ＥＣＰ']#[['イーチーピー']]#100#['&n;']#['emergency contraceptive pill', 'ECP']
['禿瘡']#[['とくそう']]#100#['&n;']#['alopecia areata']
['粃糠']#[['ひこう']]#100#['&n;']#['bran', 'husks']
['ＳＴＤ']#[['エスティーディー']]#100#['&n;']#['sexually transmitted disease', 'STD']
['ＶＤ']#[['ブイディー']]#100#['&n;']#['videodisc', 'videodisk']
['ＰＭＳ']#[['ピーエムエス']]#100#['&n;']#['premenstrual syndrome', 'PMS']
['ＰＭＤＤ']#[['ピーエムディーディー']]#100#['&n;']#['premenstrual dysphoric disorder', 'PMDD']
['マン屁']#[['マンぺ']]#100#['&n;']#['pussy fart', 'queef']
['ＦＬＩＲ']#[['フリア'], ['フリアー']]#100#['&n;']#['forward-looking infrared', 'FLIR']
['釜煎り']#[['かまいり']]#100#['&n;']#['boiling to death (punishment during the Warring States period)']
['ＳＡＴ']#[['エスエーティー']]#100#['&n;']#['SAT', 'Scholastic Assessment Test', 'Scholastic Aptitude Test']
['ＳＡＴ']#[['サット']]#100#['&n;']#['Special Assault Team', 'SAT']
['ＷＴＩ']#[['ダブリュティーアイ']]#100#['&n;']#['West Texas Intermediate', 'WTI']
['ＧＭＯ']#[['ジーエムオー']]#100#['&n;']#['genetically modified organism', 'GMO']
['其々']#[['そそ']]#100#['&int;']#['come on', 'hurry up', 'chop chop']
['鷸蚌']#[['いつぼう'], ['いっぽう']]#100#['&n;']#['a snipe and a clam', 'a snipe and a mussel']
['墺']#[['おう']]#100#['&n;', '&n-pref;', '&n-suf;']#['Austria']
['ＳＰ']#[['エスピー']]#100#['&n;']#['security police', 'special police']
['ＬＰガス']#[['エルピーガス']]#100#['&n;']#['liquefied petroleum gas', 'LPG']
['ＬＰＧ']#[['エルピージー']]#100#['&n;']#['liquefied petroleum gas', 'LPG']
['ＥＰレコード']#[['イーピーレコード']]#100#['&n;']#['extended-play record', 'EP record']
['ＥＰ']#[['イーピー']]#100#['&n;']#['extended-play (record)', 'EP']
['顎クイ']#[['あごクイ'], ['アゴクイ']]#100#['&n;']#[\"suddenly lifting somebody's face by their chin (in a domineering yet romantic fashion)\"]
['イボタ蝋']#[['イボタろう'], ['いぼたろう'], ['ちゅうはくろう']]#100#['&n;']#['tree wax', 'insect wax', 'Chinese wax']
['葡萄パン']#[['ぶどうパン'], ['ブドウパン']]#100#['&n;']#['raisin bread']
['鯵フライ']#[['あじフライ'], ['アジフライ']]#100#['&n;']#['deep-fried horse mackerel']
['蒟蒻ゼリー']#[['こんにゃくゼリー']]#100#['&n;']#['fruit jelly (gelled with konjac starch)', 'fruit jello']
['ＰＭ２．５']#[['ピーエムにてんご']]#100#['&n;']#['PM 2.5', 'particulate matter 2.5', 'particles smaller than 2.5 micrometers']
['ＳＮＥＰ']#[['スネップ']]#100#['&n;']#['solitary non-employed person', {'_': 'non-employed person aged 20-59, not married or engaged in study who has no social interactions with anybody outside their family', '$': {'g_type': 'expl'}}]
['ウィンナー珈琲']#[['ウィンナーコーヒー'], ['ウィンナコーヒー'], ['ウィンナ・コーヒー'], ['ウィンナー・コーヒー']]#100#['&n;']#['Vienna coffee']
['緬甸']#[['めんでん'], ['ビルマ']]#100#['&n;']#['Burma']
['ＪＣＴ']#[['ジェーシーティー']]#100#['&n;']#['(highway) junction']
['ＲＣ']#[['アールシー']]#100#['&n;']#['reinforced concrete']
['どこの誰']#[['どこのだれ']]#100#['&exp;', '&pn;']#['who the heck', 'just who']
['伉儷']#[['こうれい']]#100#['&n;']#['married couple', 'spouses', 'husband and wife']
['ＣＭソング']#[['シーエムソング']]#100#['&n;']#['advertising jingle', 'song used in a commercial']
['鉤ホック']#[['かぎホック']]#100#['&n;']#['hook and eye (clothing fastener)']
['誣罔']#[['ふもう']]#100#['&n;']#['slander']
['ポロ葱']#[['ポロねぎ'], ['ポロネギ']]#100#['&n;']#['leek (Allium porrum)']
['ＲＰＧ']#[['アールピージー']]#100#['&n;']#['role-playing game', 'RPG']
['棈']#[['あべまき'], ['アベマキ']]#100#['&n;']#['Chinese cork oak (Quercus variabilis)']
['ＨＡＣＣＰ']#[['ハセップ'], ['ハサップ']]#100#['&n;']#['Hazard Analysis Critical Control Point', 'HACCP']
['ＥＳＳ']#[['イーエスエス']]#100#['&n;']#['English Speaking Society', 'English Study Society', {'_': 'English conversation club', '$': {'g_type': 'expl'}}]
['ＦＰ']#[['エフピー']]#100#['&n;']#['financial planner']
['ＨＲ']#[['エッチアール'], ['エイチアール']]#100#['&n;']#['homeroom', 'form room', 'form class']
['Ｖゾーン']#[['ブイゾーン']]#100#['&n;']#['V-zone', 'female genital area']
['尻かっちん']#[['けつかっちん'], ['けつカッチン'], ['ケツカッチン']]#100#['&n;']#['deadline (esp. in the entertainment industry)', 'fixed ending time']
['芥']#[['ごもく'], ['ゴモク']]#100#['&n;']#['trash', 'rubbish', 'garbage']
['竿燈']#[['かんとう']]#100#['&n;']#['Kanto Festival (Akita)']
['剥がれ']#[['はがれ']]#100#['&n;']#['peeling', 'separation', 'exfoliation']
['ＣＰ']#[['シーピー']]#100#['&n;']#['commercial paper', 'CP']
['拭き']#[['ふき'], ['ぶき']]#100#['&n-suf;']#['cleaner', 'wiper', 'eraser', 'cloth']
['誰にだって']#[['だれにだって']]#100#['&exp;', '&pn;']#['anyone', 'anybody', 'everyone', 'whoever']
['誰だって']#[['だれだって']]#100#['&exp;', '&pn;']#['anyone', 'anybody', 'everyone', 'everybody', 'whoever']
['Ｗｉ-Ｆｉ']#[['ワイファイ'], ['ワイハイ']]#100#['&n;']#['Wi-Fi', 'WiFi', 'wireless local area network', 'wireless LAN']
['ＰＰ']#[['ピーピー'], ['ピー・ピー']]#100#['&n;']#[\"producer's price\", 'PP']
['ＴｅＸ']#[['テフ'], ['テック']]#100#['&n;']#['TeX', {'_': 'typesetting system designed by Donald Knuth', '$': {'g_type': 'expl'}}]
['ＩＳＩＬ']#[['アイシル']]#100#['&n;']#['ISIL', 'Islamic State of Iraq and the Levant']
['ＤＸ']#[['ディーエックス']]#100#['&n;']#['deluxe']
['ＤＸコード']#[['ディーエックスコード']]#100#['&n;']#['DX code']
['斑']#[['まだら'], ['もどろ']]#100#['&n;']#['spots', 'speckles', 'mottles']
['劫臈']#[['こうろう']]#100#['&n;']#['long time', 'long years of service']
['柿餅']#[['かきもち']]#100#['&n;']#['persimmon-filled mochi']
['癭瘤']#[['えいりゅう']]#100#['&n;']#['cecidium', 'gall']
['麺つゆ']#[['めんつゆ']]#100#['&n;']#['mentsuyu', 'noodle soup base', {'_': 'mixture of dashi, soy sauce, mirin and sugar', '$': {'g_type': 'expl'}}]
['虧盈']#[['きえい']]#100#['&n;']#['waning and waxing (usu. of the moon)']
['扁壺']#[['へんこ']]#100#['&n;']#['circular flat stoneware flask']
['筬']#[['おさ']]#100#['&n;']#['reed (in a loom)', 'yarn guide']
['ＰＡＣ３']#[['パックスリー']]#100#['&n;']#['Patriot advanced capability-3', 'PAC3 anti-ballistic missile system', 'PAC3 missile']
['貰い']#[['もらい']]#100#['&n;']#['tip', 'gratuity', 'alms']
['寓喩']#[['ぐうゆ']]#100#['&n;']#['allegory']
['袖搦']#[['そでがらみ']]#100#['&n;']#['barbed metal weapon for catching criminals (Edo period)']
['ＣＲＩＳＰＲ']#[['クリスパー']]#100#['&n;']#['clustered regularly interspaced short palindromic repeats', 'CRISPR']
['鋸パルメット']#[['のこぎりパルメット'], ['ノコギリパルメット']]#100#['&n;']#['saw palmetto (Serenoa repens)']
['コロラド柏槇']#[['コロラドびゃくしん'], ['コロラドビャクシン']]#100#['&n;']#['Rocky Mountain juniper (Juniperus scopulorum)']
['雁股']#[['かりまた']]#100#['&n;']#['forked arrowhead', 'double-headed arrow']
['駕籠かき']#[['かごかき']]#100#['&n;']#['sedan chair bearer', 'palanquin bearer']
['３ＰＬ']#[['スリーピーエル'], ['さんピーエル']]#100#['&n;']#['third-party logistics', '3PL']
['輿舁き']#[['こしかき']]#100#['&n;']#['palanquin bearer', 'carrying a palanquin']
['狼爪']#[['ろうそう'], ['おおかみづめ']]#100#['&n;']#['dewclaw']
['斧槍']#[['ふそう']]#100#['&n;']#['halberd']
['ＬＩＤＡＲ']#[['ライダー'], ['ライダ']]#100#['&n;']#['lidar', 'LIDAR', 'Laser Imaging Detection and Ranging', 'Light Detection And Ranging']
['ＣＱＣ']#[['シーキューシー']]#100#['&n;']#['close quarters combat', 'CQC']
['薔薇のつぼみ']#[['ばらのつぼみ'], ['バラのつぼみ']]#100#['&exp;', '&n;']#['rosebud']
['どじょう掬い']#[['どじょうすくい']]#100#['&n;']#['scooping loaches', 'catching loach in a net']
['どじょう掬いまんじゅう']#[['どじょうすくいまんじゅう']]#100#['&n;']#['steamed bun shaped like a loach catcher']
['蟹しゃぶ']#[['かにしゃぶ']]#100#['&n;']#['crab shabu-shabu']
['蝦夷蝉']#[['えぞぜみ'], ['エゾゼミ']]#100#['&n;']#['Lyristes japonicus (species of cicada)']
['猩猩蝦']#[['しょうじょうえび'], ['ショウジョウエビ']]#100#['&n;']#['kangaroo shrimp (Glyphus marsupialis)']
['ＵＴＦ８']#[['ユーティーエフはち'], ['ユーティーエフエイト']]#100#['&n;']#['Unicode 8-bit UCS Transformation Format', 'UTF-8']
['ＶＶＦケーブル']#[['ブイブイエフケーブル']]#100#['&n;']#['vinyl-sheathed vinyl-insulated flat cable (type of solid-core copper cable)']
['また釘']#[['またくぎ']]#100#['&n;']#['staple']
['ＴＰＰ']#[['ティーピーピー']]#100#['&n;']#['Trans-Pacific Partnership', 'Trans-Pacific Strategic Economic Partnership Agreement', 'TPP']
['ＣＡ']#[['シーエー']]#100#['&n;']#['cabin attendant', 'flight attendant']
['虻蜂']#[['あぶはち'], ['アブハチ']]#100#['&n;']#['horsefly and bee', 'horsefly and wasp']
['鍋鸛']#[['なべこう'], ['ナベコウ']]#100#['&n;']#['black stork (Ciconia nigra)']
['堆']#[['たい']]#100#['&n;']#['bank (river, lake)']
['ＮＥＰ']#[['ネップ']]#100#['&n;']#['New Economic Policy (Soviet Union, 1922-1928)', 'NEP']
['ケロリン桶']#[['ケロリンおけ']]#100#['&n;']#['yellow plastic container used at public baths']
['Ｃスイッチ']#[['シースイッチ']]#100#['&n;']#['two-way switch (UK)', 'three-way switch (US)']
['Ｂスイッチ']#[['ビースイッチ']]#100#['&n;']#['simple on-off switch', 'one-way switch (UK)', 'two-way switch (US)']
['Ｄスイッチ']#[['ディースイッチ']]#100#['&n;']#['intermediate switch (UK)', 'crossover switch (UK)', 'four-way switch (US)']
['ＺＩＰドライブ']#[['ジップドライブ']]#100#['&n;']#['Zip drive']
['碾磑']#[['てんがい'], ['みずうす']]#100#['&n;']#['water-powered millstone']
['餅まき']#[['もちまき']]#100#['&n;']#['throwing of mochi to an assembled crowd, esp. during the framework-raising ceremony of a new building']
['ＬＧＢＴ']#[['エルジービーティー']]#100#['&n;']#['lesbian, gay, bisexual, transgender', 'LGBT']
['ＵＨＴ']#[['ユーエイチティー'], ['ユーエッチティー']]#100#['&n;']#['ultrahigh temperature (e.g. pasteurization)', 'UHT']
['ＧＫ']#[['ジーケー']]#100#['&n;']#['goalkeeper']
['ＰＫ']#[['ピーケー']]#100#['&n;']#['penalty kick']
['ＶＸ']#[['ブイエックス'], ['ブイ・エックス']]#100#['&n;']#['VX (nerve agent)']
['ビタミンＢ']#[['ビタミンビー']]#100#['&n;']#['vitamin B', 'B vitamins']
['ＥＢ']#[['イービー']]#100#['&n;']#['electronic book', 'e-book']
['３９']#[['さんきゅう']]#100#['&int;']#['thank you']
['α-メチルトリプタミン']#[['アルファメチルトリプタミン']]#100#['&n;']#['alpha-methyltryptamine', 'AMT']
['ＩｏＴ']#[['アイオーティー'], ['アイオーティ'], ['アイ・オー・ティー'], ['アイ・オー・ティ']]#100#['&n;']#['Internet of Things', 'IoT']
['Ｇ７']#[['ジーセブン'], ['ジー・セブン']]#100#['&n;']#['Group of Seven', 'G7']
['萵苣']#[['ちしゃ'], ['ちさ'], ['チシャ']]#100#['&n;']#['lettuce']
['３Ｄプリント']#[['スリーディープリント']]#100#['&n;']#['3D printing']
['３Ｄグラス']#[['スリーディーグラス']]#100#['&n;']#['3D glasses']
['３Ｄカメラ']#[['スリーディーカメラ']]#100#['&n;']#['3D camera', 'stereo camera']
['３Ｄテレビ']#[['スリーディーテレビ']]#100#['&n;']#['3D television']
['３Ｄグラフィックス']#[['スリーディーグラフィックス']]#100#['&n;']#['3D graphics']
['３Ｄプロジェクションマッピング']#[['スリーディープロジェクションマッピング'], ['スリーディー・プロジェクション・マッピング']]#100#['&n;']#['3D projection mapping', 'projection mapping']
['あんず飴']#[['あんずあめ']]#100#['&n;']#['candy-coated fruit (usu. a plum) on a stick']
['２ＤＫ']#[['にディーケー']]#100#['&n;']#['two rooms and a combination dining-kitchen']
['２Ｄ']#[['ツーディー']]#100#['&n;']#['2D', 'two dimensional']
['ぶどう飴']#[['ぶどうあめ']]#100#['&n;']#['candy-coated grapes on a stick']
['いちご飴']#[['いちごあめ'], ['イチゴあめ']]#100#['&n;']#['candy-coated strawberry on a stick']
['プランＢ']#[['プランビー']]#100#['&n;']#['plan B']
['餌やり']#[['えさやり'], ['エサやり']]#100#['&n;']#['feeding (animals)', 'provisioning']
['闇ブローカー']#[['やみブローカー']]#100#['&n;']#['black-market broker']
['竽']#[['う']]#100#['&n;']#['yu', {'_': 'free reed wind instrument used in ancient China and Nara period Japan', '$': {'g_type': 'expl'}}]
['甥姪']#[['おいめい'], ['せいてつ']]#100#['&n;']#['nephews and nieces']
['砥']#[['と']]#100#['&n;']#['whetstone', 'grindstone']
['槓ドラ']#[['カンドラ']]#100#['&n;']#['dora tile revealed when a player declares a kong']
['掻き']#[['かき']]#100#['&n;']#['stroke (swimming)', 'arm stroke']
['８ナンバー']#[['はちナンバー']]#100#['&n;']#['licence plate beginning with 8 used by police, ambulance, etc. vehicles']
['ＡＲモデル']#[['エーアールモデル']]#100#['&n;']#['autoregressive model']
['袖枕']#[['そでまくら']]#100#['&n;']#[\"using the sleeves of one's kimono as a pillow\"]
['Ｌドーパ']#[['エルドーパ']]#100#['&n;']#['L-DOPA']
['搶槓']#[['チャンカン']]#100#['&n;']#[\"winning on a tile robbed from another player's kong\"]
['ＹｏｕＴｕｂｅｒ']#[['ユーチューバー']]#100#['&n;']#['YouTuber', 'YouTube celebrity']
['Ｊアラート']#[['ジェーアラート'], ['ジェイアラート']]#100#['&n;']#['J-Alert system', {'_': \"Japan's satellite-based disaster warning system\", '$': {'g_type': 'expl'}}]
['鞍尻']#[['くらじり']]#100#['&n;']#['rear part of saddle', 'cantle']
['ＣＶ']#[['シーヴィー']]#100#['&n;']#['voice actor']
['粟麩']#[['あわぶ']]#100#['&n;']#['nama-fu (steamed wheat gluten) mixed with chestnuts']
['ＴＮＴ']#[['ティーエヌティー']]#100#['&n;']#['trinitrotoluene', 'TNT']
['埃よけ']#[['ほこりよけ'], ['ホコリよけ']]#100#['&n;']#['dust protection', 'dust cover']
['膿痂疹']#[['のうかしん']]#100#['&n;']#['impetigo']
['槓杆']#[['こうかん']]#100#['&n;']#['lever']
['マジ卍']#[['マジまんじ'], ['まじまんじ']]#100#['&int;']#['wow', 'kewl', 'awes']
['ＯＰ']#[['オーピー'], ['オー・ピー']]#100#['&n;']#['opening credits', 'title sequence']
['ＭＶＮＯ']#[['エムブイエヌオー'], ['エム・ブイ・エヌ・オー']]#100#['&n;']#['mobile virtual network operator', 'MVNO']
['ＥＤ']#[['イーディー']]#100#['&n;']#['erectile dysfunction']
['駕']#[['が']]#100#['&n;']#['vehicle', 'horse-drawn carriage']
['ＪＫビジネス']#[['ジェイケイビジネス'], ['ジェーケービジネス']]#100#['&n;']#['various intimate services (e.g. massage) rendered by a female high school student or young woman wearing a high school uniform']
['ＴＥＬ']#[['テル']]#100#['&n;']#['telephone', 'telephone number']
['ストレス潰瘍']#[['ストレスかいよう']]#100#['&n;']#['stress ulcer']
['ＴＫＧ']#[['ティーケイジー']]#100#['&n;']#['tamago kake gohan', {'_': 'raw egg mixed with white rice, often seasoned with soy sauce', '$': {'g_type': 'expl'}}]
['糞']#[['ふん'], ['フン']]#100#['&n;']#['feces (esp. animal)', 'excrement', 'dung']
['捲りカルタ']#[['めくりカルタ'], ['めくりかるた'], ['メクリカルタ']]#100#['&n;']#['mekuri karuta', {'_': 'deck of 48 (later 49) cards or the fishing game played with it, esp. popular in the late Edo period', '$': {'g_type': 'expl'}}]
['ＴＳ']#[['ティーエス']]#100#['&n;']#['transexual']
['纏']#[['まとい']]#100#['&n;']#['battle standard decorated with hanging strips of paper or leather']
['ＮＹダウ']#[['エヌワイダウ']]#100#['&n;']#['Dow-Jones average (New York Stock Exchange)']
['湫']#[['くで'], ['くて']]#100#['&n;']#['wetland', 'marsh']
['Ｘスポーツ']#[['エックススポーツ']]#100#['&n;']#['extreme sports']
['ｅスポーツ']#[['イースポーツ']]#100#['&n;']#['eSports (form of competition using video games)', 'e-sports', 'electronic sports']
['ＱＴ']#[['キューティー']]#100#['&n;']#['qualification test']
['撓り']#[['しなり']]#100#['&n;']#['bending', 'warping', 'flexibility', 'pliability']
['撓']#[['しおり']]#100#['&n;']#['interpenetration of spirit between the poet and nature in a haiku']
['ＨＳ']#[['エッチエス']]#100#['&n;']#['hill size (in ski jumping)', 'HS']
['ずり這い']#[['ずりばい'], ['ズリばい']]#100#['&n;']#['crawling with the belly against the floor (baby)']
['鍵垢']#[['かぎアカ']]#100#['&n;']#['private account (esp. on Twitter)', {'_': 'account on a social networking service that can only be viewed by approved followers', '$': {'g_type': 'expl'}}]
['臼茸']#[['うすたけ'], ['ウスタケ']]#100#['&n;']#['shaggy chanterelle (Turbinellus floccosus)', 'scaly chanterelle', 'woolly chanterelle']
['糞スレ']#[['クソスレ'], ['くそスレ']]#100#['&n;']#['shitpost', 'worthless post or thread in an Internet forum']
['鶯パン']#[['うぐいすパン'], ['ウグイスパン']]#100#['&n;']#['bun filled with sweet green pea paste']
['ＲＡＷ']#[['ロー']]#100#['&n;']#['raw (image format)', 'RAW']
['此れは此れは']#[['これはこれは']]#100#['&int;']#['oh!', 'dear me', 'my goodness', 'well well', 'I say']
['１Ｋ']#[['ワンケー']]#100#['&n;']#['apartment with one bedroom and a kitchen']
['１ＤＫ']#[['ワンディーケー']]#100#['&n;']#['apartment with one bedroom and a combined dining room and kitchen']
['１ＬＤＫ']#[['ワンエルディーケー']]#100#['&n;']#['apartment with one bedroom and a combined living room, dining room and kitchen']
['うぐいす餡']#[['うぐいすあん'], ['ウグイスあん']]#100#['&n;']#['sweet brownish-green paste made from green peas']
['錫箔']#[['すずはく']]#100#['&n;']#['tin foil', 'tinfoil']
['ＬＤＫ']#[['エルディーケー']]#100#['&n;']#['combined living room, dining room and kitchen']
['ＤＫ']#[['ディーケー']]#100#['&n;']#['eat-in-kitchen', 'combination kitchen-dining room']
['斧']#[['よき']]#100#['&n;']#['hatchet']
['蝦夷にゅう']#[['えぞにゅう'], ['エゾニュウ']]#100#['&n;']#['Angelica ursina (species of perennial herb)']
['膝カックン']#[['ひざカックン'], ['ひざかっくん'], ['ヒザカックン']]#100#['&n;']#['knee dislocation']
['ＳＡ']#[['エスエー']]#100#['&n;']#['service area']
['ＰＡ']#[['ピーエー']]#100#['&n;']#['rest stop', 'service area']
['鍵かけ']#[['かぎかけ']]#100#['&n;']#['key rack', '(wall-mounted) key holder', 'key hook']
['ＱＢ']#[['キュービー']]#100#['&n;']#['quarterback']
['ＳＩＴ']#[['エスアイティー']]#100#['&n;']#['static induction transistor', 'SIT']
['ＩＳ']#[['アイエス']]#100#['&n;']#['Islamic State (of Iraq and the Levant)', 'Daesh', 'IS', 'ISIL']
['Ｃａ']#[['シーエー']]#100#['&n;']#['calcium (Ca)']
['チゲ鍋']#[['チゲなべ']]#100#['&n;']#['Korean stew', 'Korean hot pot']
['ウニ丼']#[['ウニどん'], ['うにどん']]#100#['&n;']#['bowl of rice topped with sea urchin']
['ＭＢＡ']#[['エムビーエー']]#100#['&n;']#['master of business administration', 'MBA']
