Kanji#Reading#JLPT#Type#Meaning
['いじり回す']#[['いじりまわす']]#4#['&v5s;']#['to tinker with', 'to fumble with', 'to twist up']
['作出']#[['さくしゅつ']]#4#['&n;', '&vs;']#['new creation', 'new invention', 'new production', 'new breed']
['こねくり回す']#[['こねくりまわす']]#4#['&v5s;']#['to knead', 'to turn']
['頭をかかえる']#[['あたまをかかえる']]#4#['&exp;', '&v1;']#[\"to be at wits' end\", 'to be greatly perplexed', 'to be troubled']
['上市']#[['じょうし']]#4#['&adj-f;', '&vs;']#['going on the market', 'placing on the market']
['パーティションを切る']#[['パーティションをきる']]#4#['&exp;', '&v5r;']#['to partition (e.g. a hard drive)']
['自動ポスト']#[['じどうポスト']]#4#['&n;', '&vs;']#['autopost']
['力を合わせる']#[['ちからをあわせる']]#4#['&exp;', '&v1;']#['to join forces', 'to cooperate']
['いい薬になる']#[['いいくすりになる']]#4#['&exp;', '&v5r;']#['to learn a lesson (usu. from an unpleasant experience)', 'to be good for someone']
['心を通わせる']#[['こころをかよわせる']]#4#['&exp;', '&v1;']#['to establish an emotional bond with', 'to reach out to', 'to relate to']
['気品がある']#[['きひんがある']]#4#['&exp;', '&v5r-i;']#['to be elegant', 'to be graceful', 'to be refined']
['運転を見合わせる']#[['うんてんをみあわせる']]#4#['&exp;', '&v1;']#['to suspend operations (esp. of trains)', 'to stop driving']
['口を開く']#[['くちをひらく']]#4#['&exp;', '&v5k;']#[\"to open one's mouth (to talk)\", 'to (start to) tell']
['風を入れる']#[['かぜをいれる']]#4#['&exp;', '&v1;']#['to let in (fresh) air']
['教鞭をとる']#[['きょうべんをとる']]#4#['&exp;', '&v5r;']#['to teach', 'to take a teaching job']
['野菜を作る']#[['やさいをつくる']]#4#['&exp;', '&v5r;']#['to grow vegetables']
['蓋を開ける']#[['ふたをあける']]#4#['&exp;', '&v1;']#['to open the lid', 'to lift a lid']
['心惹かれる']#[['こころひかれる']]#4#['&v1;']#['to feel attracted by', 'to be fascinated by']
['お開きにする']#[['おひらきにする']]#4#['&exp;', '&vs-i;']#['to break up (e.g. a meeting)', 'to call it a night']
['弱みにつけこむ']#[['よわみにつけこむ']]#4#['&exp;', '&v5m;']#[\"to take advantage of (someone's) weakness\"]
['太ももを出す']#[['ふとももをだす']]#4#['&exp;', '&v5s;']#[\"to expose one's thighs\", \"to bare one's buttocks\"]
['間に合わす']#[['まにあわす']]#4#['&exp;', '&v5s;']#['to make something be done in time']
['去校']#[['きょこう']]#4#['&n;', '&vs;']#['leaving school (due to transfer)']
['走らせる']#[['はしらせる']]#4#['&v1;', '&vt;']#['to dispatch (someone)', 'to send', 'to make run']
['明らめる']#[['あきらめる']]#4#['&v1;', '&vt;']#['to elucidate', 'to shed light on', 'to clarify']
['合す']#[['がっす']]#4#['&v5s;']#['to join together', 'to sum up', 'to combine', 'to unite', 'to mix', 'to agree with']
['住す']#[['じゅうす']]#4#['&v5s;', '&vi;']#['to live', 'to reside', 'to inhabit']
['心す']#[['こころす']]#4#['&v5s;', '&vi;']#['to take care', 'to mind', 'to be attentive']
['服す']#[['ふくす']]#4#['&v5s;', '&vi;']#['to obey', 'to submit to', 'to yield to', 'to accept', 'to abide by']
['帰す']#[['きす']]#4#['&v5s;', '&vs-c;']#['to come to (in the end)', 'to end in']
['死す']#[['しす']]#4#['&vs-c;', '&vi;']#['to die']
['産す']#[['さんす']]#4#['&v5s;', '&vi;', '&vt;']#['to bear (a child)', 'to be born']
['頭が切れる']#[['あたまがきれる']]#4#['&exp;', '&v1;']#['to be sharp', 'to be keen', 'to be on the ball', 'to have a mind like a steel trap', 'to be clever']
['頭が真っ白になる']#[['あたまがまっしろになる']]#4#['&exp;', '&v5r;']#['to blank out', 'to panic']
['開ける']#[['はだける']]#4#['&v1;', '&vt;']#[\"to open (e.g. one's robe)\", \"to bare (e.g. one's chest)\", 'to expose']
['開かる']#[['はだかる']]#4#['&v5r;', '&vi;']#['to be separated (of clothing)', 'to be exposed', 'to be wide open']
['出図']#[['しゅつず']]#4#['&n;', '&vs;']#['drawing release', 'release of a drawing']
['メンチを切る']#[['メンチをきる']]#4#['&exp;', '&v5r;']#['to stare at', 'to glare at']
['頭をもたげる']#[['あたまをもたげる']]#4#['&exp;', '&v1;']#[\"to raise one's head\", 'to come to the fore', 'to rise into importance', 'to gain strength', 'to rear its head']
['堰を切る']#[['せきをきる']]#4#['&exp;', '&v5r;']#['to break a dam', 'to burst out']
['喧嘩を売る']#[['けんかをうる']]#4#['&exp;', '&v5r;']#['to pick a fight']
['売り物にする']#[['うりものにする']]#4#['&exp;', '&vs-i;']#['to market (something)', 'to feature (something to sell)', 'to trade in (something)', 'to securitize']
['つなぎ売り']#[['つなぎうり']]#4#['&n;', '&vs;']#['hedging', 'hedge selling']
['生き急ぐ']#[['いきいそぐ']]#4#['&v5g;', '&vi;']#['to live fast (and recklessly)']
['売りに出す']#[['うりにだす']]#4#['&exp;', '&v5s;']#['to offer for sale', 'to put on the market']
['と思われる']#[['とおもわれる']]#4#['&exp;', '&v1;']#['be considered', 'be deemed', 'be thought to be']
['同じゅうする']#[['おなじゅうする']]#4#['&exp;', '&vs-s;']#['to be the same', 'to coincide', 'to correspond']
['野糞']#[['のぐそ'], ['のグソ'], ['ノグソ']]#4#['&n;', '&vs;']#['defecating outdoors', 'faeces lying on the ground (feces)']
['思い切らせる']#[['おもいきらせる']]#4#['&v1;']#['to dissuade', \"to change someone's mind\", 'to make someone give up the idea of']
['赤む']#[['あかむ']]#4#['&v5m;']#['to blush', 'to redden']
['花開く']#[['はなひらく']]#4#['&exp;', '&v5k;']#['to blossom', 'to flower', 'to bloom']
['話し始める']#[['はなしはじめる']]#4#['&v1;']#['to begin to speak']
['歩き始める']#[['あるきはじめる']]#4#['&v1;']#['to begin to walk', 'to set out']
['飲み始める']#[['のみはじめる']]#4#['&v1;']#['to begin to drink']
['通い始める']#[['かよいはじめる']]#4#['&v1;']#['to begin to attend (e.g. school)']
['歌い始める']#[['うたいはじめる']]#4#['&v1;']#['to start singing']
['軋み合う']#[['きしみあう']]#4#['&v5u;']#['to engage in (mutual) competition']
['写メる']#[['しゃメる']]#4#['&v1;', '&vt;']#['to take a photo with a mobile phone']
['時代がかる']#[['じだいがかる']]#4#['&v5r;', '&vi;']#['to be antique-looking']
['頭を捻る']#[['あたまをひねる']]#4#['&exp;', '&v5r;']#['to puzzle over', 'to think deeply about', \"to rack one's brains over (wrack)\"]
['ついて回る']#[['ついてまわる']]#4#['&v5r;', '&vi;']#['to follow (someone) around', 'to cling (to)', 'to dog', 'to hound', 'to harry', 'to pursue']
['ぶった切る']#[['ぶったぎる']]#4#['&v5r;', '&vt;']#['to chop (a branch, etc.)']
['言い終える']#[['いいおえる']]#4#['&v1;']#['to finish saying']
['拭い去る']#[['ぬぐいさる']]#4#['&v5r;']#['to rub out', 'to clean off', 'to clear away', 'to efface', 'to erase']
['あり合わせる']#[['ありあわせる']]#4#['&v1;', '&vi;']#['to happen to be available', 'to have on hand', 'to have in stock']
['引っ掴む']#[['ひっつかむ']]#4#['&v5m;']#['to snatch (at)', 'to grab']
['引っぺがす']#[['ひっぱがす'], ['ひっぺがす']]#4#['&v5s;', '&vt;']#['to tear off', 'to rip off', 'to peel off']
['引っ立てる']#[['ひったてる']]#4#['&v1;']#['to walk someone off (e.g. to the police station)']
['引きつれる']#[['ひきつれる']]#4#['&v1;', '&vi;']#['to have a cramp']
['映ずる']#[['えいずる']]#4#['&vz;', '&vi;']#['to be reflected (in)', 'to be mirrored (in)']
['夏めく']#[['なつめく']]#4#['&v5k;', '&vi;']#['to become summerly', 'to become like summer']
['寒気立つ']#[['さむけだつ']]#4#['&v5t;', '&vi;']#['to feel cold', 'to have a chill']
['急がす']#[['いそがす']]#4#['&v5s;', '&vt;']#['to hurry up', 'to press on', 'to hasten']
['言い始める']#[['いいはじめる']]#4#['&v1;']#['to say previously unspoken thoughts']
['軽しめる']#[['かろしめる']]#4#['&v1;', '&vt;']#['to belittle', 'to look down on']
['光らす']#[['ひからす']]#4#['&v5s;', '&vt;']#['to make something bright', 'to shine', 'to polish']
['見合わす']#[['みあわす']]#4#['&v5s;', '&vt;']#['to exchange glances', 'to look at each other']
['験する']#[['けんする']]#4#['&vs-s;']#['to attempt', 'to test', 'to try out']
['掻っ切る']#[['かっきる']]#4#['&v5r;', '&vt;']#['to cut', 'to slit', 'to slash']
['用うる']#[['もちうる']]#4#['&v5r;']#['to use', 'to make use of', 'to utilize']
['好まれる']#[['このまれる']]#4#['&v1;']#['to like', 'to appreciate', 'to have a preference']
['転作']#[['てんさく']]#4#['&n;', '&vs;']#['crop diversification', 'crop rotation', 'change of crops']
['気で気を病む']#[['きできをやむ']]#4#['&exp;', '&v5m;']#['to worry without reason', 'to fret']
['心にかなう']#[['こころにかなう']]#4#['&exp;', '&v5u;']#['to be pleased with', \"to be to one's liking\"]
['気を引き立てる']#[['きをひきたてる']]#4#['&exp;', '&v1;']#['to cheer', \"to raise somebody's spirits\"]
['気を楽にする']#[['きをらくにする']]#4#['&exp;', '&vs-i;']#['to relax', 'to take it easy']
['気が強くなる']#[['きがつよくなる']]#4#['&exp;', '&v5r;']#['to feel more confident']
['気を長く持つ']#[['きをながくもつ']]#4#['&exp;', '&v5t;']#['to be patient']
['分け持つ']#[['わけもつ']]#4#['&v5t;', '&vt;']#['to share']
['埒が明く']#[['らちがあく']]#4#['&exp;', '&v5k;']#['to come to a settlement']
['思い見る']#[['おもいみる'], ['おもんみる']]#4#['&v1;']#['to reflect carefully']
['し終える']#[['しおえる']]#4#['&v1;', '&vt;']#['to finish']
['シャッターを切る']#[['シャッターをきる']]#4#['&exp;', '&v5r;']#['to release a shutter (camera)', 'to click a shutter']
['味噌を擂る']#[['みそをする']]#4#['&exp;', '&v5r;']#[\"to lick someone's boots\", 'to flatter']
['引き開ける']#[['ひきあける']]#4#['&v1;', '&vt;']#['to pull open']
['口説き']#[['くどき']]#4#['&n;', '&vs;']#['entreaty', 'imploring', 'begging']
['綴じ合わせる']#[['とじあわせる']]#4#['&v1;']#['to bind together (e.g. the pages of a book)', 'to sew up', 'to tape together', 'to stitch together']
['藁仕事']#[['わらしごと']]#4#['&n;', '&vs;']#['making things out of straw (winter work for farmers)']
['うろつき回る']#[['うろつきまわる']]#4#['&v5r;']#['to rove', 'to prowl', 'to go cruising']
['不食']#[['ふしょく']]#4#['&n;', '&vs;']#['fasting']
['ざく切り']#[['ざくぎり']]#4#['&n;', '&vs;']#['cutting into chunks (esp. vegetables)']
['明暗を分ける']#[['めいあんをわける']]#4#['&exp;', '&v1;']#['to decide the outcome (e.g. game)']
['輾転']#[['てんてん']]#4#['&n;', '&vs;']#['rolling about']
['後手に回る']#[['ごてにまわる']]#4#['&exp;', '&v5r;']#['to be forestalled', 'to fall behind', 'to be one step behind']
['書き始める']#[['かきはじめる']]#4#['&v1;']#['to begin to write', 'to begin writing']
['注意を集中する']#[['ちゅういをしゅうちゅうする']]#4#['&exp;', '&vs-i;']#[\"to concentrate one's attention\", 'to be engrossed in']
['縊首']#[['いしゅ']]#4#['&n;', '&vs;']#['suicide by hanging']
['せめぎ合う']#[['せめぎあう']]#4#['&v5u;']#['to fight each other']
['舵を切る']#[['かじをきる']]#4#['&exp;', '&v5r;']#['to change direction (of policy, etc.)', {'_': 'to turn the rudder (of a ship)', '$': {'g_type': 'lit'}}]
['切り進む']#[['きりすすむ']]#4#['&v5m;']#['to cleave', 'to saw through', 'to hack apart']
['地子']#[['じし'], ['ちし']]#4#['&n;', '&vs;']#['type of land rent paid by farmers']
['借りパク']#[['かりパク'], ['かりぱく'], ['カリパク']]#4#['&n;', '&vs;']#['borrowing something without returning it', 'mooching', 'welching']
['前を開く']#[['まえをひらく']]#4#['&exp;', '&v5k;']#[\"to show one's privates\"]
['蟻族']#[['ありぞく']]#4#['&n;', '&vs;']#['university graduate who has failed to find a high-paying job']
['別れさせる']#[['わかれさせる']]#4#['&v1;', '&vt;']#['to destroy a relationship']
['事とする']#[['こととする']]#4#['&exp;', '&vs-i;']#['to devote oneself', 'to do one thing exclusively', 'to make a job of']
['暗れ塞がる']#[['くれふたがる'], ['くれふさがる']]#4#['&v5r;']#['to be shrouded by darkness']
['注目を集める']#[['ちゅうもくをあつめる']]#4#['&exp;', '&v1;']#['to gather (attract, receive) attention', 'to have a high profile', 'to gain prominence', 'to become popular']
['のしのしと歩く']#[['のしのしとあるく']]#4#['&exp;', '&v5k;', '&vi;']#['to walk heavily and clumsily', 'to lumber']
['引っ攫う']#[['ひっさらう']]#4#['&v5u;', '&vt;']#['to kidnap', 'to abduct', 'to snatch', 'to carry people away', 'to take by force']
['分有']#[['ぶんゆう']]#4#['&n;', '&vs;']#['partial ownership', 'possession in portions']
['思い知らす']#[['おもいしらす']]#4#['&v5s;', '&vt;']#['to make someone realize (e.g. their mistake)', 'to bring (something) home to someone', 'to teach someone a lesson']
['入館']#[['にゅうかん']]#4#['&n;', '&vs;']#['entry (into a library, museum, etc.)', 'entering']
['火を見るより明らかである']#[['ひをみるよりあきらかである']]#4#['&exp;', '&v5r-i;']#['to be as plain as daylight', 'to be as clear as day']
['行水を使う']#[['ぎょうずいをつかう']]#4#['&exp;', '&v5u;']#['to have a bath in the open air']
['気色立つ']#[['けしきだつ']]#4#['&v5t;']#['to show signs of']
['帰臥']#[['きが']]#4#['&n;', '&vs;']#[\"quitting one's job as a government official to return to live quietly in one's own native region\"]
['首切る']#[['くびきる']]#4#['&v5r;']#['to behead', 'to decapitate']
['上通']#[['じょうつう']]#4#['&n;', '&vs;']#['conveying the views of the subordinates to the rulers']
['でかい顔する']#[['でかいかおする']]#4#['&exp;', '&vs-i;']#['to act self-importantly', 'to be arrogant', 'to be high-handed', 'to puff up']
['つじつまを合わせる']#[['つじつまをあわせる']]#4#['&exp;', '&v1;']#[\"to make one's story to seem coherent\", \"to adjust one's story to fit the situation\"]
['有らせられる']#[['あらせられる']]#4#['&v1;', '&vi;']#['to be', 'to exist']
['声を尖らす']#[['こえをとがらす']]#4#['&exp;', '&v5s;']#['to speak sharply', \"to sharpen one's tone\", \"to raise one's voice\"]
['心が通じる']#[['こころがつうじる']]#4#['&exp;', '&v1;']#['to relate to', \"to have one's feelings understood\"]
['切れ上がる']#[['きれあがる']]#4#['&v5r;', '&vi;']#['to turn upwards']
['目を楽しませる']#[['めをたのしませる']]#4#['&exp;', '&v1;']#['to be pleasure to the eye', 'to delight the eye', 'to please the eye', \"to feast one's eyes on\"]
['門前市をなす']#[['もんぜんいちをなす']]#4#['&exp;', '&v5s;']#['to have many visitors (of a home)', 'to be prosperous (of a shop)']
['年が明ける']#[['としがあける']]#4#['&exp;', '&v1;']#['the New Year begins', 'the New Year starts']
['主人に仕える']#[['しゅじんにつかえる']]#4#['&exp;', '&v1;']#['to serve a master', \"to serve one's employer faithfully\"]
['手を回す']#[['てをまわす']]#4#['&exp;', '&v5s;']#[\"to use one's influence\", 'to pull strings', 'to take measures', 'to make the necessary preparations']
['あり合わす']#[['ありあわす']]#4#['&v5s;', '&vi;']#['to happen to be available', 'to have on hand', 'to have in stock']
['金を回す']#[['かねをまわす']]#4#['&exp;', '&v5s;']#['to spread money around (e.g. to give, to loan, to invest, etc.)']
['体をかわす']#[['たいをかわす']]#4#['&exp;', '&v5s;']#['to avoid', 'to dodge', 'to evade']
['代かき']#[['しろかき']]#4#['&n;', '&vs;']#['preparing a rice field for planting by flooding it and tilling the soil']
['べそを作る']#[['べそをつくる']]#4#['&exp;', '&v5r;']#['to be ready to cry', 'to be on the point of tears']
['呱々の声をあげる']#[['ここのこえをあげる']]#4#['&exp;', '&v1;']#['to be born (of a baby)', 'to come into the world']
['事となる']#[['こととなる']]#4#['&exp;', '&v5r;']#['to have been decided (so) that', 'to have been arranged (so) that']
['媚を売る']#[['こびをうる']]#4#['&exp;', '&v5r;']#['to coquet (of a woman)', 'to entice a customer (of a prostitute)']
['口を合わせる']#[['くちをあわせる']]#4#['&exp;', '&v1;']#['to arrange not to contradict each other']
['赤める']#[['あかめる']]#4#['&v1;', '&vt;']#['to blush', 'to redden']
['通い合う']#[['かよいあう']]#4#['&v5u;']#['to communicate', 'to commune']
['色目を使う']#[['いろめをつかう']]#4#['&exp;', '&v5u;']#['to make eyes at', 'to leer', 'to ogle']
['外転']#[['がいてん']]#4#['&n;', '&vs;']#['abduction', 'eversion', 'exodeviation', 'exstrophy']
['使い回す']#[['つかいまわす']]#4#['&v5s;']#['to use one thing for several purposes', 'to use the same thing on multiple occasions']
['手が切れる']#[['てがきれる']]#4#['&exp;', '&v1;']#[\"to break off with (e.g. one's lover)\"]
['やけを起こす']#[['やけをおこす'], ['ヤケをおこす']]#4#['&exp;', '&v5s;']#['to become desperate', 'to give way to despair']
['意を用いる']#[['いをもちいる']]#4#['&exp;', '&v1;']#['to pay attention to']
['心を用いる']#[['こころをもちいる']]#4#['&exp;', '&v1;']#['to be attentive to', 'to pay attention to']
['顔を揃える']#[['かおをそろえる']]#4#['&exp;', '&v1;']#['to be in complete attendance']
['お茶する']#[['おちゃする']]#4#['&exp;', '&vs-i;']#['to go out for tea (or coffee, etc.)']
['どうかと思う']#[['どうかとおもう']]#4#['&exp;', '&v5u;']#['to think (something) is improper', 'to question', 'to have a problem with']
['売れ切れる']#[['うれきれる']]#4#['&v1;', '&vi;']#['to be sold out', 'to sell out']
['心が引かれる']#[['こころがひかれる']]#4#['&exp;', '&v1;']#['to be drawn to', 'to feel the call of ...', \"to have one's heart-strings pulled\"]
['もつれ合う']#[['もつれあう']]#4#['&v5u;', '&vi;']#['to get entangled (with each other)']
['去り行く']#[['さりゆく'], ['さりいく']]#4#['&v5k-s;', '&vi;']#['to leave']
['着す']#[['じゃくす']]#4#['&vs-c;', '&vi;']#['to insist on', 'to cling to', 'to adhere to']
['着する']#[['ちゃくする']]#4#['&vs-s;', '&vi;']#['to arrive', 'to reach']
['下げ止まり']#[['さげどまり']]#4#['&n;', '&vs;']#['bottoming out', 'reaching a floor', 'ceasing to fall', 'edging lower']
['高止まり']#[['たかどまり']]#4#['&n;', '&vs;']#['continuing at a high level', 'remaining high']
['縒り合わせる']#[['よりあわせる']]#4#['&v1;', '&vt;']#['to intertwine', 'to twist together']
['ぶつかり合う']#[['ぶつかりあう']]#4#['&v5u;', '&vt;']#['to collide', 'to clash']
['味あう']#[['あじあう']]#4#['&v5u;', '&vt;']#['to taste', 'to savor', 'to relish']
['有卦に入る']#[['うけにいる'], ['うけにはいる']]#4#['&exp;', '&v5r;']#['to have good luck']
['地腫れ']#[['じばれ']]#4#['&n;', '&vs;']#['swelling (around a wound)']
['元を辿る']#[['もとをたどる']]#4#['&exp;', '&v5r;']#['to trace back to (the origins of something)']
['言い回す']#[['いいまわす']]#4#['&v5s;', '&vt;']#['to express in a roundabout way']
['死なす']#[['しなす']]#4#['&v5s;', '&vt;']#['to let die']
['頤で人を使う']#[['あごでひとをつかう']]#4#['&exp;', '&v5u;']#['to set somebody to work in an arrogant fashion', 'to push somebody around', {'_': \"to indicate someone by pointing one's chin\", '$': {'g_type': 'lit'}}]
['理会']#[['りかい']]#4#['&n;', '&vs;']#['being aware']
['こつこつ働く']#[['こつこつはたらく'], ['コツコツはたらく']]#4#['&exp;', '&v5k;']#['to work hard', 'to toil', 'to moil', \"to keep one's nose to the grindstone\", 'to slug away']
['勉強になる']#[['べんきょうになる']]#4#['&exp;', '&v5r;']#['to gain knowledge', 'to be illuminated']
['目を光らす']#[['めをひからす']]#4#['&exp;', '&v5s;']#['to keep a watchful eye on']
['目を光らせる']#[['めをひからせる']]#4#['&exp;', '&v1;']#['to keep a watchful eye on']
['黒む']#[['くろむ']]#4#['&v5m;', '&vi;']#['to blacken']
['作話']#[['さくわ']]#4#['&n;', '&vs;']#['confabulation', 'fabrication']
['説き明かし']#[['ときあかし']]#4#['&n;', '&vs;']#['explanation', 'exposition']
['電話注文']#[['でんわちゅうもん']]#4#['&n;', '&vs;']#['telephone order']
['不正使用']#[['ふせいしよう']]#4#['&n;', '&vs;']#['unauthorized use', 'misuse']
['たかが知れる']#[['たかがしれる']]#4#['&exp;', '&v1;']#['to be of no importance']
['躁転']#[['そうてん']]#4#['&n;', '&vs;']#['manic switch', 'entering a manic episode', 'becoming manic', 'cycle']
['転かす']#[['こかす']]#4#['&v4s;', '&vt;']#['to knock down', 'to knock over']
['痺れが切れる']#[['しびれがきれる']]#4#['&exp;', '&v1;']#['to go numb', 'to have pins and needles']
['気褄を合わす']#[['きづまをあわす']]#4#['&exp;', '&v5s;']#['to curry favour', 'to butter up', 'to fawn over', 'to humour someone (humor)', 'to put in a good mood (e.g. a baby)']
['頷き合う']#[['うなずきあう']]#4#['&v5u;', '&vi;']#['to nod to one another']
['名乗りを上げる']#[['なのりをあげる']]#4#['&exp;', '&v1;']#[\"to give one's name\", 'to introduce oneself']
['飲み歩く']#[['のみあるく']]#4#['&v5k;', '&vi;']#['to go bar-hopping', 'to go on a pub crawl']
['一体となる']#[['いったいとなる']]#4#['&exp;', '&v5r;']#['to accrete', 'to become whole', 'to come together']
['答えを出す']#[['こたえをだす']]#4#['&exp;', '&v5s;']#['to give an answer', 'to find an answer to a question', 'to work out a solution']
['着れる']#[['きれる']]#4#['&v1;']#['to be able to wear', 'to fit into']
['試金']#[['しきん']]#4#['&n;', '&vs;']#['assay (of metal, ore, etc.)', 'assaying']
['帰日']#[['きにち']]#4#['&n;', '&vs;']#['returning to Japan']
['特色づける']#[['とくしょくづける']]#4#['&v1;', '&vt;']#['to distinguish', 'to mark', 'to differentiate', 'to characterize']
['止まる']#[['とどまる']]#4#['&v5r;', '&vi;']#['to remain', 'to abide', 'to stay (in the one place)']
['止まる']#[['やまる']]#4#['&v5r;', '&vi;']#['to cease', 'to stop', 'to be over']
['言い広める']#[['いいひろめる']]#4#['&v1;', '&vt;']#['to spread word of', 'to trumpet', 'to bruit']
['歩きタバコ']#[['あるきタバコ'], ['あるきたばこ']]#4#['&n;', '&vs;']#['smoking while walking']
['死者を出す']#[['ししゃをだす']]#4#['&exp;', '&v5s;']#['to claim lives', 'to cause deaths', 'to result in fatalities']
['通りすがる']#[['とおりすがる']]#4#['&v5r;', '&vi;']#['to happen to pass by', 'to pass by']
['声を大にする']#[['こえをだいにする']]#4#['&exp;', '&vs-i;']#['to emphasize', 'to state emphatically', 'to speak loudly about', \"to raise one's voice\", \"to lift one's voice\"]
['声を大にして言う']#[['こえをだいにしていう']]#4#['&exp;', '&v5u;']#['to say it out loud', 'to yell out', 'to emphasize']
['不安がる']#[['ふあんがる']]#4#['&v5r;', '&vi;']#['to be uneasy', 'to be anxious', 'to fear']
['門をたたく']#[['もんをたたく']]#4#['&exp;', '&v5k;']#['to knock at the gate']
['試む']#[['こころむ']]#4#['&v5m;', '&vt;']#['to attempt', 'to try']
['心休まる']#[['こころやすまる']]#4#['&v5r;', '&vi;']#['to feel at ease', 'to feel relaxed']
['ぶつけ合う']#[['ぶつけあう']]#4#['&v5u;']#['to knock (ideas) against each other', 'to present competing ideas', 'to have a lively exchange of ideas']
['お目通り']#[['おめどおり']]#4#['&n;', '&vs;']#['audience (with a person of high standing)']
['考え事にふける']#[['かんがえごとにふける']]#4#['&exp;', '&v5r;']#['be absorbed in deep thought', 'be sunk in thought']
['考えにふける']#[['かんがえにふける']]#4#['&exp;', '&v5r;']#['to be absorbed in thought', 'to muse', 'to muse about', 'to think things through']
['力が入る']#[['ちからがはいる'], ['りきがはいる']]#4#['&exp;', '&v5r;']#['to be filled with strength', 'to be filled with effort', 'to be under strain', 'to be under pressure']
['力をつける']#[['ちからをつける']]#4#['&exp;', '&v1;']#[\"to build up one's strength\", 'to get stronger']
['ひた走る']#[['ひたはしる'], ['ひたばしる']]#4#['&v5r;', '&vi;']#['to run at full speed', 'to run and run']
['噛み千切る']#[['かみちぎる']]#4#['&v5r;', '&vt;']#['to bite off']
['ピントを合わせる']#[['ピントをあわせる']]#4#['&exp;', '&v1;']#['to focus on', 'to bring into focus']
['頭がさえる']#[['あたまがさえる']]#4#['&exp;', '&v1;']#['to be clear-headed']
['頭のさえる']#[['あたまのさえる']]#4#['&exp;', '&v1;']#['to be clear-headed', 'to be brainy']
['来県']#[['らいけん']]#4#['&n;', '&vs;']#['coming to a prefecture']
['来所']#[['らいしょ']]#4#['&n;', '&vs;']#['coming to an office, laboratory, etc.']
['味が出る']#[['あじがでる']]#4#['&exp;', '&v1;']#['(for the taste of something) to become apparent']
['土作り']#[['つちづくり']]#4#['&n;', '&vs;']#['keeping soil in good condition']
['来集']#[['らいしゅう']]#4#['&n;', '&vs;']#['coming together', 'gathering and coming']
['悪くなる']#[['わるくなる']]#4#['&exp;', '&v5r;', '&vi;']#['to get worse', 'to deteriorate', 'to go from bad to worse', 'to become worse']
['西進']#[['せいしん']]#4#['&n;', '&vs;']#['proceeding west']
['一時休業']#[['いちじきゅうぎょう']]#4#['&n;', '&vs;']#['temporary suspension (of business)', 'brief shutdown']
['一時休止']#[['いちじきゅうし']]#4#['&n;', '&vs;']#['adjournment', 'pause', 'moratorium', 'temporary suspension']
['ぶっ切れる']#[['ぶっきれる']]#4#['&v1;', '&vi;']#['to suddenly break with a snap', 'to suddenly get cut off']
['ぶっ切る']#[['ぶっきる']]#4#['&v5r;', '&vt;']#['to violently cut something apart', 'to hack down', 'to chop', 'to cut off']
['度する']#[['どする']]#4#['&vs-s;', '&vt;']#['to redeem (from sin)', 'to save']
['バラ売り']#[['バラうり'], ['ばらうり']]#4#['&n;', '&vs;']#['selling separately', 'selling individually', 'selling loosely']
['歩ぶ']#[['あゆぶ'], ['あよぶ'], ['あいぶ']]#4#['&v4b;', '&vi;']#['to walk', 'to go on foot']
['品がある']#[['ひんがある']]#4#['&exp;', '&v5r-i;']#['to be refined (character, manners)', 'to be classy', 'to be polished']
['長引かせる']#[['ながびかせる']]#4#['&v1;', '&vt;']#['to prolong', 'to protract', 'to draw out']
['好発']#[['こうはつ']]#4#['&n;', '&vs;']#['occurring frequently (of a disease, condition, etc.)', 'high incidence', 'being susceptible']
['飲み止す']#[['のみさす']]#4#['&v5s;', '&vt;']#['to stop drinking', 'to leave unfinished']
['見切れる']#[['みきれる']]#4#['&v1;', '&vi;']#['to accidentally be visible (in a play, TV show, etc.)']
['おっ死ぬ']#[['おっちぬ']]#4#['&v5n;', '&vi;']#['to die']
['癌死']#[['がんし']]#4#['&n;', '&vs;']#['dying of cancer']
['気死']#[['きし']]#4#['&n;', '&vs;']#['dying in a fit of anger']
['愧死']#[['きし']]#4#['&n;', '&vs;']#['dying of shame', 'being so ashamed one wants to die']
['慙死']#[['ざんし']]#4#['&n;', '&vs;']#['dying of shame', 'being so ashamed one wants to die']
['おっ広げる']#[['おっぴろげる']]#4#['&v1;', '&vt;']#['to spread', 'to extend', 'to expand', 'to enlarge', 'to widen', 'to broaden']
['目止め']#[['めどめ']]#4#['&n;', '&vs;']#['wood filling', 'filler', 'filling']
['家族サービス']#[['かぞくサービス']]#4#['&n;', '&vs;']#[\"spending time with one's family on one's day off work\", 'family duty']
['自死']#[['じし']]#4#['&n;', '&vs;']#['suicide']
['首をやる']#[['くびをやる']]#4#['&exp;', '&v5r;']#['to be hanged', 'to be struck dead', \"to eat one's hat\"]
['首を吊る']#[['くびをつる']]#4#['&exp;', '&v5r;']#['to hang (e.g. oneself)']
['ぶつ切りにする']#[['ぶつぎりにする']]#4#['&exp;', '&vs-i;']#['to cut into chunks', 'to chop into lumps']
['悪目立ち']#[['わるめだち']]#4#['&n;', '&vs;']#['being obtrusive', 'being conspicuous (in a bad way)']
['通ぶる']#[['つうぶる']]#4#['&v5r;']#['to act like a know-it-all', 'to pretend you know everything', 'to fancy one is an authority']
