Kanji#Reading#JLPT#Type#Meaning
['明白']#[['めいはく']]#4#['&adj-na;']#['obvious', 'clear', 'plain', 'evident', 'apparent', 'explicit', 'overt']
['真っ新']#[['まっさら']]#4#['&adj-na;', '&adj-no;', '&n;']#['brand new', 'fresh']
['気心の知れた']#[['きごころのしれた']]#4#['&exp;', '&adj-f;']#['bosom (buddy)', 'trusted (friend)']
['知った事ではない']#[['しったことではない']]#4#['&exp;', '&adj-i;']#['to be of no concern to one', 'to be nothing to do with one']
['ブロンズ色']#[['ブロンズいろ']]#4#['&n;', '&adj-no;']#['bronze (coloured)']
['ベージュ色']#[['ベージュいろ']]#4#['&n;', '&adj-no;']#['beige (coloured)']
['運のいい']#[['うんのいい'], ['うんのよい']]#4#['&exp;', '&adj-ix;']#['lucky', 'fortunate']
['悪っぽい']#[['わるっぽい']]#4#['&adj-i;']#['baddish', 'badish']
['地元産']#[['じもとさん']]#4#['&n;', '&adj-no;']#['local product', 'homegrown', 'homebred']
['究竟']#[['くきょう']]#4#['&n;', '&adj-no;']#['culmination', 'conclusion']
['医生']#[['いせい']]#4#['&n;', '&adj-f;']#['bio-medical', 'biomedical']
['地に足の着いた']#[['ちにあしのついた']]#4#['&exp;', '&adj-f;']#['realistic', 'practical', 'grounded']
['出来が悪い']#[['できがわるい']]#4#['&exp;', '&adj-i;']#['(having) bad marks or results (e.g. in school)']
['堰を切ったよう']#[['せきをきったよう']]#4#['&exp;', '&adj-na;']#['gushing forth', 'bursting out', {'_': 'like breaking a dam', '$': {'g_type': 'lit'}}]
['正']#[['まさ']]#4#['&n;', '&adj-na;']#['exact', 'precise']
['いけ図々しい']#[['いけずうずうしい']]#4#['&adj-i;']#['impudent', 'shameless']
['動物間']#[['どうぶつかん']]#4#['&adj-no;']#['inter-animal']
['同意味']#[['どういみ']]#4#['&n;', '&adj-no;']#['same meaning']
['書字']#[['しょじ']]#4#['&adj-no;']#['written form']
['錆色']#[['さびいろ']]#4#['&n;', '&adj-no;']#['rust (colour)']
['蝋引き']#[['ろうびき']]#4#['&n;', '&adj-no;']#['waxing']
['すみれ色']#[['すみれいろ']]#4#['&n;', '&adj-no;']#['violet (colour)']
['ガス体']#[['ガスたい']]#4#['&n;', '&adj-no;']#['gas']
['聞く耳を持たない']#[['きくみみをもたない']]#4#['&exp;', '&adj-i;']#['to turn a deaf ear to', 'to not listen to', 'to not get the message']
['回分']#[['かいぶん']]#4#['&n;', '&adj-f;']#['batch']
['半人工']#[['はんじんこう']]#4#['&adj-f;']#['semi-manual (e.g. manufacture)']
['レモン色']#[['レモンいろ']]#4#['&n;', '&adj-no;']#['lemon (colour)']
['持たざる']#[['もたざる']]#4#['&exp;', '&adj-f;']#['have-not']
['有界']#[['ゆうかい']]#4#['&adj-na;']#['bounded']
['気が知れない']#[['きがしれない']]#4#['&exp;', '&adj-i;']#['unable to understand (reason, motive, etc.)']
['意味ありげ']#[['いみありげ']]#4#['&exp;', '&adj-na;']#['meaningful', 'suggestive', 'telling', 'significant', 'pregnant (pause etc.)']
['病める']#[['やめる']]#4#['&exp;', '&adj-f;']#['sick', 'ill', 'ailing']
['本意ない']#[['ほいない']]#4#['&adj-i;']#['reluctant', 'unwilling']
['近め']#[['ちかめ']]#4#['&adj-no;', '&adj-na;', '&n;']#['somewhat near', 'fairly close']
['遠め']#[['とおめ']]#4#['&adj-no;', '&adj-na;', '&n;']#['somewhat far', 'fairly distant']
['小電力']#[['しょうでんりょく']]#4#['&adj-no;']#['low-power (electric)']
['味噌糞']#[['みそくそ'], ['ミソくそ'], ['みそクソ'], ['ミソクソ']]#4#['&adj-na;']#['harsh', 'severe (e.g. criticism, verbal attack)']
['有理']#[['ゆうり']]#4#['&adj-no;']#['rational']
['三強']#[['さんきょう']]#4#['&n;', '&adj-no;']#['top three']
['女子用']#[['じょしよう']]#4#['&n;', '&adj-no;']#['for women']
['問題にならない']#[['もんだいにならない']]#4#['&exp;', '&adj-i;']#['unthinkable', 'count for nothing', 'not matter', 'out of the question']
['水文']#[['すいもん']]#4#['&adj-f;']#['hydrological']
['詮方ない']#[['せんかたない']]#4#['&adj-i;']#['it cannot be helped', 'there is no way']
['物新しい']#[['ものあたらしい']]#4#['&adj-i;']#['feeling vaguely new']
['頭の足りない']#[['あたまのたりない']]#4#['&exp;', '&adj-i;']#['half-baked', 'dim-witted', 'meatheaded']
['頭の弱い']#[['あたまのよわい']]#4#['&exp;', '&adj-i;']#['dim witted', 'bird-brained', 'dullard']
['心弱い']#[['こころよわい']]#4#['&adj-i;']#['tenderhearted', 'faint of heart']
['屁とも思わない']#[['へともおもわない']]#4#['&exp;', '&adj-i;']#['not give a damn', 'not care a bit']
['一切気にならない']#[['いっさいきにならない']]#4#['&exp;', '&adj-i;']#['not be concerned about at all', 'not mind about at all', 'not care a bit']
['風光る']#[['かぜひかる']]#4#['&exp;', '&adj-f;']#['springlike', 'like wind blowing through the spring sunshine']
['自ホスト']#[['じホスト']]#4#['&n;', '&adj-no;']#['self-hosting']
['体のいい']#[['ていのいい'], ['ていのよい']]#4#['&exp;', '&adj-ix;']#['nice-looking', 'seemingly fine', 'nice-sounding', 'polite-sounding', 'plausible (e.g. excuse)', 'glib']
['きまりが悪い']#[['きまりがわるい']]#4#['&exp;', '&adj-i;']#['embarrassed', 'ashamed']
['新世代']#[['しんせだい']]#4#['&n;', '&adj-no;']#['new-generation']
['夏い']#[['なつい']]#4#['&adj-i;']#['blisteringly hot', 'relentlessly hot', 'scorching']
['世代間']#[['せだいかん']]#4#['&adj-no;']#['intergenerational']
['切っては切れない']#[['きってはきれない']]#4#['&exp;', '&adj-i;']#['inseparable']
['事がない']#[['ことがない']]#4#['&exp;', '&adj-i;']#['(something) has never occurred', 'to have never done (something)', 'such a thing has not happened']
['事はない']#[['ことはない']]#4#['&exp;', '&adj-i;']#['there is no need to ...']
['意地が悪い']#[['いじがわるい']]#4#['&exp;', '&adj-i;']#['malicious', 'deliberately mean']
['転合']#[['てんごう']]#4#['&n;', '&adj-na;']#['prank', 'joke']
['早まき']#[['はやまき']]#4#['&n;', '&adj-no;']#['sowing early']
['風来']#[['ふうらい']]#4#['&n;', '&adj-no;']#['frivolity', 'unpredictability', 'erraticism']
['やむ終えない']#[['やむおえない']]#4#['&exp;', '&adj-i;']#['cannot be helped', 'unavoidable']
['海手']#[['うみて']]#4#['&n;', '&adj-no;']#['place by the sea']
['青っぽい']#[['あおっぽい']]#4#['&adj-i;']#['bluish', 'greenish']
['間に合い']#[['まにあい']]#4#['&n;', '&adj-no;']#['makeshift']
['軽質']#[['けいしつ']]#4#['&adj-f;']#['light (esp. in chemistry)']
['重質']#[['じゅうしつ']]#4#['&adj-f;']#['heavy (esp. in oil, chemistry, etc.)']
['つかみ所のない']#[['つかみどころのない']]#4#['&exp;', '&adj-i;']#['vague', 'fuzzy', 'elusive', 'slippery']
['つかみ所がない']#[['つかみどころがない']]#4#['&exp;', '&adj-i;']#['vague', 'fuzzy', 'elusive', 'slippery']
['作動中']#[['さどうちゅう']]#4#['&n;', '&adj-no;']#['in operation (of a machine, especially security cameras)', 'in use', 'in action']
['半地下']#[['はんちか']]#4#['&n;', '&adj-no;']#['semibasement', 'semi-basement']
['作業中']#[['さぎょうちゅう']]#4#['&n;', '&adj-no;']#['work-in-progress', 'working state']
['文字入力']#[['もじにゅうりょく']]#4#['&n;', '&adj-f;']#['text entry', 'character entry']
['生物体']#[['せいぶつたい']]#4#['&n;', '&adj-no;']#['organism']
['動物好き']#[['どうぶつすき']]#4#['&n;', '&adj-no;']#['love of animals', 'animal loving']
['一足早い']#[['ひとあしはやい']]#4#['&exp;', '&adj-i;']#['slightly early', 'just before']
['悪げ']#[['わるげ']]#4#['&adj-na;']#['seeming bad']
['心地よげ']#[['ここちよげ']]#4#['&adj-na;']#['looking like one is in a good mood']
['見好げ']#[['みよげ']]#4#['&adj-na;']#['pleasant to look at']
['気味が悪い']#[['きみがわるい']]#4#['&exp;', '&adj-i;']#['creepy (feeling)', 'uneasy (feeling)', 'bad (feeling)', 'giving one the creeps', 'hideous', 'scaring', 'weird']
['写真入り']#[['しゃしんいり']]#4#['&adj-no;']#['illustrated (with photographs)']
['民族上']#[['みんぞくじょう']]#4#['&adj-no;']#['ethnic', 'racial']
['待ちかね']#[['まちかね']]#4#['&adj-no;']#['long-awaited', 'long-waited-for']
['味のある']#[['あじのある']]#4#['&exp;', '&adj-f;']#['interesting (personality, turn of phrase, etc.)', 'pleasantly different', 'tasteful', 'attractive', 'charming']
['思しき']#[['おぼしき']]#4#['&adj-pn;']#['apparently', 'appears to be']
['試験中']#[['しけんちゅう']]#4#['&adj-no;']#['under examination', 'under test (e.g. device)', 'on trial']
['中太']#[['なかぶと'], ['ちゅうぶと']]#4#['&n;', '&adj-na;', '&adj-no;']#['medium thickness', 'medium width']
['短稈']#[['たんかん']]#4#['&adj-no;']#['short-stalked (of grains)', 'dwarf']
['有名ブランド']#[['ゆうめいブランド']]#4#['&n;', '&adj-no;']#['big-name brand', 'brand-name goods']
['時間生物学']#[['じかんせいぶつがく']]#4#['&n;', '&adj-no;']#['chronobiology']
['頭蓋外']#[['ずがいがい']]#4#['&adj-no;']#['extracranial']
['人聞きの悪い']#[['ひとぎきのわるい']]#4#['&exp;', '&adj-i;']#['disreputable', 'scandalous', 'disgraceful']
['品がない']#[['ひんがない']]#4#['&exp;', '&adj-i;']#['unrefined (character, manners)', 'mean', 'vulgar', 'bad taste', 'lacking style']
['カイ二乗']#[['カイじじょう'], ['カイにじょう']]#4#['&adj-no;']#['chi-square', 'chi-squared']
['頭が古い']#[['あたまがふるい']]#4#['&exp;', '&adj-i;']#[\"old-fashioned (in one's way of thinking)\"]
['終']#[['つい']]#4#['&n;', '&adj-no;']#['end', 'final']
['近赤外']#[['きんせきがい']]#4#['&n;', '&adj-no;']#['near infrared', 'NIR']
['赤っぽい']#[['あかっぽい']]#4#['&adj-i;']#['reddish']
['使用後']#[['しようご']]#4#['&adv;', '&adj-no;']#['after use', 'after occurring']
['早ゆで']#[['はやゆで']]#4#['&adj-no;']#['quick cook (e.g. pasta)', 'quick boil']
['嗄声']#[['させい'], ['かせい']]#4#['&n;', '&adj-no;']#['hoarseness', 'hoarse voice']
['西京']#[['さいきょう']]#4#['&n;', '&adj-no;']#['western capital', 'Kyoto']
['テコでも動かない']#[['テコでもうごかない'], ['てこでもうごかない']]#4#['&exp;', '&adj-i;']#['refusing to budge', 'adamant', 'intransigent', 'unyielding']
['待ちに待った']#[['まちにまった']]#4#['&exp;', '&adj-f;']#['long-awaited', 'eagerly awaited']
['注文が多い']#[['ちゅうもんがおおい']]#4#['&exp;', '&adj-i;']#['demanding', 'difficult', 'strict']
['注文の多い']#[['ちゅうもんのおおい']]#4#['&exp;', '&adj-i;']#['demanding', 'difficult', 'strict']
['狙い通り']#[['ねらいどおり']]#4#['&n;', '&adj-na;', '&adj-no;']#['according to plan', 'as planned', 'on target']
['ケツが青い']#[['ケツがあおい'], ['けつがあおい'], ['しりがあおい']]#4#['&exp;', '&adj-i;']#['wet behind the ears', 'inexperienced', 'immature']
['手が悪い']#[['てがわるい']]#4#['&exp;', '&adj-i;']#['being dealt a bad hand (in mahjong, card games, etc.)']
['親切ごかし']#[['しんせつごかし']]#4#['&n;', '&adj-na;']#['pretending to be kind', 'self-aggrandizement under pretense of aiding another (aggrandisement, pretence)']
['品のない']#[['ひんのない']]#4#['&exp;', '&adj-i;']#['vulgar', 'crude', 'tacky']
['意味がない']#[['いみがない']]#4#['&exp;', '&adj-i;']#['useless', 'no future in it', \"doesn't make sense\", 'having no point']
['進行中']#[['しんこうちゅう']]#4#['&adj-no;']#['ongoing', 'in progress', 'afoot']
['重ったい']#[['おもったい']]#4#['&adj-i;']#['heavy', 'weighty']
['白茶']#[['しらちゃ'], ['しろちゃ']]#4#['&n;', '&adj-no;']#['light brown']
['青みがかった']#[['あおみがかった']]#4#['&adj-f;']#['bluish', 'tinged with blue']
['黒みがかった']#[['くろみがかった']]#4#['&adj-f;']#['blackish', 'dark']
['一日も早い']#[['いちにちもはやい']]#4#['&exp;', '&adj-i;']#['speedy', 'as rapid as possible', 'as soon as possible']
['テープ起こし']#[['テープおこし']]#4#['&n;', '&adj-no;']#['tape transcription', 'transcribing from recorded tape', 'audio-typing']
['声にならない']#[['こえにならない']]#4#['&exp;', '&adj-i;']#['soundless', 'mute']
['知ったかぶり屋']#[['しったかぶりや']]#4#['&n;', '&adj-no;']#['know-it-all']
['有らない']#[['あらない']]#4#['&adj-i;']#['nonexistent', 'not being (there)']
['後に引けない']#[['あとにひけない']]#4#['&exp;', '&adj-i;']#['unable to back out', 'unable to withdraw', 'unable to stop', 'unable to compromise']
['意味ない']#[['いみない']]#4#['&adj-i;']#['meaningless', 'pointless']
['蔓質']#[['つるだち']]#4#['&adj-no;']#['vine-like', 'climbing', 'creeping']
['試しがない']#[['ためしがない']]#4#['&exp;', '&adj-i;']#['is never the case', 'has never happened']
['小味']#[['こあじ']]#4#['&n;', '&adj-na;', '&adj-no;']#['delicate flavor', 'subtle feeling', 'subtlety', 'delicacy']
['水が合わない']#[['みずがあわない']]#4#['&exp;', '&adj-i;']#['does not agree with', 'does not get along with']
['物わかりが悪い']#[['ものわかりがわるい']]#4#['&exp;', '&adj-i;']#['dense', 'dim', 'dull-witted', 'unsympathetic', 'slow to understand', 'slow on the uptake']
['鳥も通わない']#[['とりもかよわない']]#4#['&exp;', '&adj-i;']#['remote', 'out-of-the-way']
['やる方ない']#[['やるかたない']]#4#['&exp;', '&adj-i;']#[\"unable to clear away one's ill feeling\", 'not able to do anything (about...)']
['好ましからざる']#[['このましからざる']]#4#['&adj-f;']#['unwelcome', 'unwanted', 'undesirable']
['計画外']#[['けいかくがい']]#4#['&adj-no;']#['unplanned', 'unscheduled']
['この世のものとも思えない']#[['このよのものともおもえない']]#4#['&exp;', '&adj-i;']#['unearthly', 'otherworldly', 'out of this world', 'ethereal']
['正気とは思えない']#[['しょうきとはおもえない']]#4#['&exp;', '&adj-i;']#[\"not in one's right mind\", 'insane']
['度なし']#[['どなし']]#4#['&exp;', '&adj-na;']#['without optical correction (glasses, contact lens, etc.)']
['橙赤色']#[['とうせきしょく']]#4#['&n;', '&adj-no;']#['orange-red', 'reddish orange', 'fire red']
['近づきがたい']#[['ちかづきがたい'], ['ちかづきにくい']]#4#['&adj-i;']#['unapproachable', 'inaccessible', 'difficult to access']
['真っ黒け']#[['まっくろけ']]#4#['&adj-na;']#['pitch black', 'completely black']
['考えにくい']#[['かんがえにくい']]#4#['&adj-i;']#['difficult to imagine', 'quite unlikely to', 'very doubtful', 'would not expect']
['頭が低い']#[['あたまがひくい']]#4#['&exp;', '&adj-i;']#['humble', 'modest', 'unassuming']
['家用']#[['かよう']]#4#['&n;', '&adj-no;']#['domestic uses']
['正時']#[['しょうじ']]#4#['&n;', '&adj-no;', '&adv;', '&adv-to;']#['(on) the hour']
['毎正時']#[['まいしょうじ']]#4#['&n;', '&adj-no;', '&adv;']#['every hour on the hour']
['頭が回らない']#[['あたまがまわらない']]#4#['&exp;', '&adj-i;']#['muddleheaded', 'knowing no better', 'not thinking about']
['顔が見える']#[['かおがみえる']]#4#['&exp;', '&adj-f;']#['identifiable', 'personalized']
['有りける']#[['ありける']]#4#['&exp;', '&adj-f;']#['said', 'aforementioned']
['低品質']#[['ていひんしつ']]#4#['&n;', '&adj-no;', '&adj-na;']#['low quality', 'poor quality']
['男女別']#[['だんじょべつ']]#4#['&adj-no;']#['by gender', 'according to gender', 'gender-segregated']
['出産後']#[['しゅっさんご']]#4#['&adj-no;']#['postnatal', 'post partum']
['料理下手']#[['りょうりべた'], ['りょうりベタ']]#4#['&adj-na;']#['no good at cooking']
['光風霽月']#[['こうふうせいげつ']]#4#['&n;', '&adj-no;']#['serenity']
['二代目']#[['にだいめ']]#4#['&n;', '&adj-no;']#['second generation', 'second', 'junior']
['下中音']#[['かちゅうおん']]#4#['&n;', '&adj-no;']#['submediant']
['夜用']#[['よるよう']]#4#['&adj-no;']#['nighttime use', 'overnight']
['名の通った']#[['なのとおった']]#4#['&exp;', '&adj-f;']#['well-known', 'famous']
['ダサかっこ好い']#[['ダサかっこいい'], ['ださかっこいい'], ['ダサカッコイイ']]#4#['&adj-ix;']#['cheesy yet cool', \"so uncool it's cool\", 'cool but uncool']
['軽忽']#[['きょうこつ'], ['けいこつ']]#4#['&adj-na;']#['indiscreet', 'thoughtless']
['は文字い']#[['はもじい']]#4#['&adj-i;']#['embarrassed', 'ashamed of']
['烏合']#[['うごう']]#4#['&n;', '&adj-no;']#['disorderly gathering']
['溽暑']#[['じょくしょ']]#4#['&adj-no;']#['sultry', 'muggy', 'steamy', 'sticky', 'hot and humid']
['地理空間']#[['ちりくうかん']]#4#['&adj-na;']#['geospatial']
['お三方']#[['おさんかた']]#4#['&n;', '&adj-no;']#['three people']
['物語風']#[['ものがたりふう']]#4#['&n;', '&adj-no;']#['narrative-like structure', 'narrative style']
['心ばえ']#[['こころばえ']]#4#['&n;', '&adj-no;']#['concern', 'sympathy', 'solicitude', 'consideration (for others)']
['体が弱い']#[['からだがよわい']]#4#['&exp;', '&adj-i;']#['frail', 'having a weak constitution', 'being in poor health']
['体の弱い']#[['からだのよわい']]#4#['&exp;', '&adj-i;']#['frail', 'having a weak constitution', 'being in poor health']
['自分らしい']#[['じぶんらしい']]#4#['&exp;', '&adj-i;']#['characteristic', 'like oneself', 'worthy of oneself']
['住みよい']#[['すみよい']]#4#['&adj-i;']#['pleasant to live in']
['切れ目のない']#[['きれめのない']]#4#['&exp;', '&adj-pn;']#['seamless', 'contiguous', 'unbroken', 'non-stop']
['運がない']#[['うんがない']]#4#['&exp;', '&adj-i;']#['unlucky']
['つじつまが合わない']#[['つじつまがあわない']]#4#['&exp;', '&adj-i;']#['incoherent', 'inconsistent']
['朝が早い']#[['あさがはやい']]#4#['&exp;', '&adj-i;']#['waking up early', 'getting up early', 'early rising']
['考えもつかない']#[['かんがえもつかない']]#4#['&exp;', '&adj-i;']#['unthinkable', 'unimaginable', 'inconceivable', 'unclassifiable', 'never dreamt of']
['走行中']#[['そうこうちゅう']]#4#['&adj-no;']#['while running', 'while moving', 'in motion']
['会社帰り']#[['かいしゃがえり']]#4#['&n;', '&adj-no;', '&adv;']#['on the way home from work', 'returning from work']
['四足歩行']#[['しそくほこう']]#4#['&n;', '&adj-no;']#['quadruped walking', 'walking on four legs']
['ピンク色']#[['ピンクいろ']]#4#['&n;', '&adj-no;']#['pink']
['トイレが近い']#[['トイレがちかい']]#4#['&exp;', '&adj-i;']#['having a small bladder', 'having an overactive bladder']
['意思が強い']#[['いしがつよい']]#4#['&exp;', '&adj-i;']#['determined', 'strong-willed']
['気味の悪い']#[['きみのわるい']]#4#['&exp;', '&adj-i;']#['creepy (feeling)', 'uneasy (feeling)', 'bad (feeling)', 'giving one the creeps', 'hideous', 'scaring', 'weird']
['空力']#[['くうりき']]#4#['&n;', '&adj-f;']#['aerodynamics']
['気持ちが悪い']#[['きもちがわるい']]#4#['&exp;', '&adj-i;']#['bad-feeling', 'disagreeable', 'unpleasant', 'revolting', 'gross', 'disgusting']
['気が軽い']#[['きがかるい']]#4#['&exp;', '&adj-i;']#['light-hearted', 'carefree']
['物知らず']#[['ものしらず']]#4#['&n;', '&adj-no;']#['stupidity', 'ignorance', 'stupid person', 'ignorant person']
['先々代']#[['せんせんだい']]#4#['&n;', '&adj-no;']#['the one before last', 'two generations, etc. previous']
['中太り']#[['ちゅうぶとり']]#4#['&adj-na;', '&adj-no;', '&n;']#['chubby', 'slightly overweight']
['海のものとも山のものともつかない']#[['うみのものともやまのものともつかない']]#4#['&exp;', '&adj-i;']#['neither fish nor fowl', 'hard to predict', 'up in the air', 'unclear']
['見も知らぬ']#[['みもしらぬ']]#4#['&adj-pn;']#['completely unknown (usu. of people)', 'unfamiliar', 'complete (stranger)']
['喧嘩っ早い']#[['けんかっぱやい'], ['ケンカっぱやい']]#4#['&adj-i;']#['quarrelsome', 'easy to anger', 'quick to lose temper']
['多頭']#[['たとう']]#4#['&adj-no;']#['many-headed', 'hydra-headed']
['中朝']#[['ちゅうちょう']]#4#['&n;', '&adj-no;']#['China and North Korea', 'Chinese-North Korean']
['頭が重い']#[['あたまがおもい']]#4#['&exp;', '&adj-i;']#['feeling heavy in the head', 'heavy-headed']
['世に言う']#[['よにいう']]#4#['&exp;', '&adj-f;']#['what is called', 'what they call', 'so-called']
['好きくない']#[['すきくない']]#4#['&adj-i;']#['disliking', 'not liking']
['小寒い']#[['こさむい']]#4#['&adj-i;']#['chilly', 'a little cold']
['質の高い']#[['しつのたかい']]#4#['&exp;', '&adj-f;']#['high quality']
['質の悪い']#[['しつのわるい']]#4#['&exp;', '&adj-f;']#['poor-quality', 'low-quality', 'shoddy', 'low-grade']
['質が悪い']#[['しつがわるい']]#4#['&exp;', '&adj-i;']#['poor-quality', 'low-quality', 'shoddy', 'low-grade']
['質がいい']#[['しつがいい'], ['しつがよい']]#4#['&exp;', '&adj-i;']#['good-quality', 'superior in quality']
['質のいい']#[['しつのいい']]#4#['&exp;', '&adj-f;']#['good-quality', 'superior in quality']
['右に出る者はない']#[['みぎにでるものはない']]#4#['&exp;', '&adj-i;']#['being second to none', \"being in a league of one's own\"]
['質のいい']#[['たちのいい']]#4#['&exp;', '&adj-f;']#['good-natured', 'of good character']
['喧嘩が強い']#[['けんかがつよい'], ['ケンカがつよい']]#4#['&exp;', '&adj-i;']#['good at fighting', 'usually wins a fight']
['元気モリモリ']#[['げんきモリモリ'], ['げんきもりもり']]#4#['&exp;', '&adj-no;', '&adj-na;']#['full of energy', 'full of liveliness', 'full of pep']
['風の強い']#[['かぜのつよい']]#4#['&exp;', '&adj-i;']#['windy', 'windswept', 'blowy']
['風が強い']#[['かぜがつよい']]#4#['&exp;', '&adj-i;']#['windy', 'windswept', 'blowy']
['ちょい悪']#[['ちょいわる'], ['ちょいワル']]#4#['&adj-no;']#['slightly off', 'not quite good enough', 'slightly wild-looking (e.g. fashion)']
['太ましい']#[['ふとましい']]#4#['&adj-i;']#['chubby', 'pudgy', 'plump']
['真空パック']#[['しんくうパック']]#4#['&n;', '&adj-no;']#['vacuum pack', 'vacuum packing']
['貸元がズルい']#[['かしもとがズルい'], ['かしもとがずるい']]#4#['&exp;', '&adj-i;']#['wanton (of a woman)', 'promiscuous']
['人が悪い']#[['ひとがわるい']]#4#['&exp;', '&adj-i;']#['ill-natured', 'mean', 'mischievous', 'nasty', 'unkind', 'teasing']
['住みやすい']#[['すみやすい']]#4#['&adj-i;']#['comfortable to live in (of a neighborhood, etc.)', 'convenient', 'congenial', 'agreeable']
['茶っぽい']#[['ちゃっぽい']]#4#['&adj-i;']#['brownish']
['私なり']#[['わたしなり']]#4#['&exp;', '&adj-no;']#['(in) my own way']
['遜色ない']#[['そんしょくない']]#4#['&exp;', '&adj-i;']#['standing comparison with', 'comparing favorably with', 'by no means inferior to', 'equal to']
['フッ軽']#[['フッかる']]#4#['&adj-no;', '&adj-na;']#['quickly adaptable (of a person)', 'pro-active']
['フットワークが軽い']#[['フットワークがかるい']]#4#['&exp;', '&adj-i;']#['quickly adaptable', 'pro-active']
['大人用']#[['おとなよう']]#4#['&adj-no;']#['for use by adults', 'for adults']
['買い物上手']#[['かいものじょうず']]#4#['&n;', '&adj-na;']#['being good at shopping sensibly', 'sensible shopper', 'shrewd buyer', 'smart shopper']
['料理上手']#[['りょうりじょうず']]#4#['&n;', '&adj-na;']#['being good at cooking', 'good cook']
['だだ広い']#[['だだびろい']]#4#['&adj-i;']#['excessively spacious', 'unduly wide', 'sprawling']
['名の知れた']#[['なのしれた']]#4#['&exp;', '&adj-f;']#['well-known', 'famous', 'noted', 'popular', 'recognized']
['諦めが悪い']#[['あきらめがわるい']]#4#['&exp;', '&adj-i;']#['not knowing when to give up', 'being a bad loser', 'poor at letting things go', 'unable to accept the inevitable']
['諦めの悪い']#[['あきらめのわるい']]#4#['&exp;', '&adj-f;']#['not knowing when to give up', 'being a bad loser', 'poor at letting things go', 'unable to accept the inevitable']
['芯が強い']#[['しんがつよい']]#4#['&exp;', '&adj-i;']#['mentally strong', 'strong-willed']
['社有']#[['しゃゆう']]#4#['&adj-no;']#['company-owned']
['頓用']#[['とんよう']]#4#['&n;', '&adj-no;', '&vs;']#['single use', 'single dose', 'one-off use']
['体がもたない']#[['からだがもたない']]#4#['&exp;', '&adj-i;']#['unable to stay healthy', \"ruining one's health\", \"exceeding the limits of one's body\"]
['気の知れた']#[['きのしれた']]#4#['&exp;', '&adj-f;']#['trusted (friend)', 'close (relationship)']
['肉肉しい']#[['にくにくしい']]#4#['&adj-i;']#['meaty', 'juicy (of meat)']
['新しもの好き']#[['あたらしものずき']]#4#['&n;', '&adj-no;']#['neophilia', 'love of new or novel things', 'one who loves new or novel things']
['黒目がち']#[['くろめがち']]#4#['&adj-na;', '&adj-no;']#['large-pupilled', 'dark-eyed', 'having large irises']
['物問いたげ']#[['ものといたげ']]#4#['&adj-na;']#['inquisitive (e.g. look)', 'questioning', 'quizzical', 'interrogative']
['青し']#[['あおし']]#4#['&adj-ku;']#['blue', 'azure']
['どうする事も出来ない']#[['どうすることもできない']]#4#['&exp;', '&adj-i;']#[\"beyond one's control\", 'nothing one can do']
['自分用']#[['じぶんよう']]#4#['&n;', '&adj-no;']#[\"(for) one's own use\", 'personal use', 'private use']
['低スペック']#[['ていスペック']]#4#['&adj-no;']#['low-spec']
['低リスク']#[['ていリスク']]#4#['&adj-no;', '&adj-na;', '&n;']#['low-risk']
['東回り']#[['ひがしまわり']]#4#['&n;', '&adj-no;']#['going from west to east']
['一生に一度']#[['いっしょうにいちど']]#4#['&exp;', '&adj-no;']#['once in a lifetime', \"once in one's life\"]
['茶色っぽい']#[['ちゃいろっぽい']]#4#['&adj-i;']#['brownish']
['引きも切らない']#[['ひきもきらない']]#4#['&exp;', '&adj-i;']#['incessant', 'uninterrupted', 'continuous']
['物思わしい']#[['ものおもわしい']]#4#['&adj-i;']#['pensive', 'meditative', 'wistful']
['乗用']#[['じょうよう']]#4#['&n;', '&adj-no;', '&vs;']#['using for riding', 'passenger use']
['不休']#[['ふきゅう']]#4#['&n;', '&adj-no;']#['no rest', 'working nonstop']
['十六進']#[['じゅうろくしん']]#4#['&n;', '&adj-no;']#['hexadecimal', 'hexadecimal notation', 'hex']
['話が早い']#[['はなしがはやい']]#4#['&exp;', '&adj-i;']#['being settled quickly', 'reaching a quick conclusion', 'no need to say any more', 'no problem']
['話は早い']#[['はなしははやい']]#4#['&exp;', '&adj-i;']#['being settled quickly', 'reaching a quick conclusion', 'no need to say any more', 'no problem']
['安近短']#[['あんきんたん']]#4#['&adj-no;']#['cheap, short in duration, and close to home (of a trip, vacation, etc.)']
['不挨拶']#[['ぶあいさつ']]#4#['&n;', '&adj-na;']#['incivility', 'impoliteness']
['問題ない']#[['もんだいない']]#4#['&exp;', '&adj-i;']#['no problem', 'all right', 'not an issue', 'unobjectionable']
['巷で話題']#[['ちまたでわだい']]#4#['&exp;', '&adj-no;']#['much-talked-about', 'recently popular', 'in vogue']
['正真']#[['しょうしん']]#4#['&adj-no;']#['true', 'authentic', 'genuine']
['電話が遠い']#[['でんわがとおい']]#4#['&exp;', '&adj-i;']#['having a bad connection (phone call)', \"unable to hear (the other person's voice)\", 'having a faint voice']
['海生']#[['かいせい']]#4#['&adj-f;']#['marine']
['住み心地がいい']#[['すみごこちがいい'], ['すみごこちがよい']]#4#['&exp;', '&adj-ix;']#['comfortable to live in']
['物わかりがいい']#[['ものわかりがいい'], ['ものわかりがよい']]#4#['&exp;', '&adj-ix;']#['sensible', 'perceptive', 'quick to understand', 'understanding', 'sympathetic']
